dataset,n_pairs,stl_linear_mean,stl_tree_mean,mean_delta,median_delta,win_rate_a,wilcoxon_p
UWaveGestureLibrary,240,0.78798,0.62124,0.16674,0.17188,0.99167,0.00000
Epilepsy,240,0.90692,0.78094,0.12598,0.12878,0.95417,0.00000
ERing,240,0.82387,0.70181,0.12207,0.12778,0.89583,0.00000
HandMovementDirection,240,0.36452,0.27907,0.08545,0.08869,0.72917,0.00000
Cricket,230,0.88279,0.80990,0.07289,0.06944,0.86087,0.00000
RacketSports,240,0.75226,0.68096,0.07129,0.07682,0.82917,0.00000
Heartbeat,240,0.63908,0.61087,0.02821,0.02658,0.75000,0.00000
DuckDuckGeese,240,0.42092,0.40233,0.01858,0.02000,0.55833,0.00244
BasicMotions,240,0.91792,0.90271,0.01521,0.02500,0.55417,0.00287
StandWalkJump,236,0.30734,0.33729,-0.02994,0.00000,0.33051,0.02591
ALL,2386,0.68014,0.61235,0.06779,0.07037,0.74560,0.00000
