method,grouping,dataset,depth,budget,n_pairs,until_mean,no_until_mean,mean_delta,median_delta,se_delta,win_rate,tie_rate,wilcoxon_p
stl_linear,overall,,,,1186,0.68293,0.67641,0.00652,0.00625,0.00231,0.52614,0.08516,0.00001
stl_linear,by_depth,,1.00000,,397,0.68301,0.66830,0.01471,0.01389,0.00405,0.58690,0.07557,0.00000
stl_linear,by_depth,,2.00000,,395,0.68472,0.68240,0.00233,0.00000,0.00426,0.49114,0.09620,0.25029
stl_linear,by_depth,,3.00000,,394,0.68105,0.67859,0.00246,0.00000,0.00362,0.50000,0.08376,0.13215
stl_linear,by_budget,,,10.00000,300,0.58632,0.58386,0.00247,0.00000,0.00519,0.48333,0.09333,0.36732
stl_linear,by_budget,,,100.00000,300,0.68727,0.68720,0.00007,0.00000,0.00397,0.48000,0.09667,0.34990
stl_linear,by_budget,,,1000.00000,300,0.72328,0.71010,0.01318,0.01014,0.00464,0.56667,0.07000,0.00039
stl_linear,by_budget,,,10000.00000,286,0.73739,0.72686,0.01053,0.01228,0.00453,0.57692,0.08042,0.00027
stl_linear,by_dataset,BasicMotions,,,120,0.93104,0.90479,0.02625,0.02500,0.00968,0.53333,0.13333,0.00305
stl_linear,by_dataset,Cricket,,,110,0.88914,0.87222,0.01692,0.02778,0.00633,0.70000,0.03636,0.00006
stl_linear,by_dataset,DuckDuckGeese,,,120,0.41833,0.42350,-0.00517,0.00000,0.01027,0.47500,0.05833,0.65797
stl_linear,by_dataset,ERing,,,120,0.82954,0.81821,0.01133,0.00556,0.00805,0.51667,0.00000,0.25406
stl_linear,by_dataset,Epilepsy,,,120,0.90888,0.90497,0.00391,0.00784,0.00470,0.55000,0.01667,0.08652
stl_linear,by_dataset,HandMovementDirection,,,120,0.35785,0.37120,-0.01335,-0.01310,0.00771,0.40000,0.05833,0.11793
stl_linear,by_dataset,Heartbeat,,,120,0.63758,0.64058,-0.00300,-0.00267,0.00389,0.48333,0.00833,0.36348
stl_linear,by_dataset,RacketSports,,,120,0.76478,0.73974,0.02504,0.02301,0.00431,0.71667,0.00833,0.00000
stl_linear,by_dataset,StandWalkJump,,,116,0.29828,0.31552,-0.01724,0.00000,0.00895,0.18966,0.52586,0.11483
stl_linear,by_dataset,UWaveGestureLibrary,,,120,0.79826,0.77771,0.02055,0.01875,0.00410,0.70000,0.01667,0.00000
stl_linear,by_dataset_depth,BasicMotions,1.00000,,40,0.92438,0.86500,0.05938,0.07500,0.01557,0.72500,0.02500,0.00058
stl_linear,by_dataset_depth,BasicMotions,2.00000,,40,0.92688,0.92063,0.00625,0.00000,0.02294,0.32500,0.25000,0.62289
stl_linear,by_dataset_depth,BasicMotions,3.00000,,40,0.94187,0.92875,0.01312,0.02500,0.00682,0.55000,0.12500,0.08626
stl_linear,by_dataset_depth,Cricket,1.00000,,37,0.88739,0.85661,0.03078,0.02778,0.01067,0.70270,0.00000,0.00245
