dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ArticularyWordRecognition,stl_linear,10,1,0.0,True,0,0.6533333333333333,3.3282,0.0251,3.3533,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,0,0.5533333333333333,2.497,0.0251,2.5221,ok
ArticularyWordRecognition,stl_linear,10,1,0.0,True,1,0.7166666666666667,3.0574,0.01,3.0674,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,1,0.6866666666666668,0.2762,0.01,0.2862,ok
ArticularyWordRecognition,stl_linear,10,1,0.0,True,2,0.8266666666666667,2.9336,0.0105,2.9441,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,2,0.72,0.2585,0.0105,0.269,ok
ArticularyWordRecognition,stl_linear,10,1,0.0,True,3,0.7566666666666667,2.893,0.0076,2.9006,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,3,0.5666666666666667,0.2848,0.0076,0.2924,ok
ArticularyWordRecognition,stl_linear,10,1,0.0,True,4,0.7033333333333333,3.0061,0.0097,3.0158,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,4,0.5866666666666667,0.2745,0.0097,0.2842,ok
ArticularyWordRecognition,stl_linear,10,1,0.0,True,5,0.8566666666666666,3.077,0.0085,3.0855,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,5,0.6466666666666667,0.2577,0.0085,0.2662,ok
ArticularyWordRecognition,stl_linear,10,1,0.0,True,6,0.5466666666666667,2.6889,0.0101,2.699,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,6,0.4033333333333334,0.2525,0.0101,0.2626,ok
ArticularyWordRecognition,stl_linear,10,1,0.0,True,7,0.7066666666666666,3.0454,0.008,3.0534,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,7,0.5333333333333333,0.2623,0.008,0.2703,ok
ArticularyWordRecognition,stl_linear,10,1,0.0,True,8,0.6466666666666667,2.9245,0.0112,2.9357,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,8,0.5066666666666666,0.268,0.0112,0.2792,ok
ArticularyWordRecognition,stl_linear,10,1,0.0,True,9,0.7066666666666667,3.0526,0.0104,3.063,ok
ArticularyWordRecognition,stl_tree,10,1,0.0,True,9,0.5033333333333334,0.2505,0.0104,0.2609,ok
