dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ArticularyWordRecognition,stl_linear,100,1,0.0,True,0,0.9466666666666668,3.0868,0.0715,3.1583,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,0,0.78,3.1275,0.0715,3.199,ok
ArticularyWordRecognition,stl_linear,100,1,0.0,True,1,0.9766666666666667,3.0011,0.0618,3.0629,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,1,0.7066666666666666,0.9433,0.0618,1.0051,ok
ArticularyWordRecognition,stl_linear,100,1,0.0,True,2,0.9333333333333332,2.9751,0.0639,3.039,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,2,0.71,0.9975,0.0639,1.0614,ok
ArticularyWordRecognition,stl_linear,100,1,0.0,True,3,0.9666666666666667,2.9786,0.06,3.0386,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,3,0.76,0.904,0.06,0.964,ok
ArticularyWordRecognition,stl_linear,100,1,0.0,True,4,0.9700000000000002,3.0286,0.0568,3.0854,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,4,0.7233333333333334,1.026,0.0568,1.0828,ok
ArticularyWordRecognition,stl_linear,100,1,0.0,True,5,0.9433333333333332,2.7791,0.0519,2.831,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,5,0.6733333333333333,1.044,0.0519,1.0959,ok
ArticularyWordRecognition,stl_linear,100,1,0.0,True,6,0.9533333333333333,2.9273,0.0631,2.9904,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,6,0.7500000000000001,0.9302,0.0631,0.9933,ok
ArticularyWordRecognition,stl_linear,100,1,0.0,True,7,0.9466666666666668,2.898,0.0539,2.9519,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,7,0.7133333333333333,0.8491,0.0539,0.903,ok
ArticularyWordRecognition,stl_linear,100,1,0.0,True,8,0.9466666666666668,2.9205,0.0543,2.9748,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,8,0.7166666666666666,1.0084,0.0543,1.0627,ok
ArticularyWordRecognition,stl_linear,100,1,0.0,True,9,0.9466666666666665,2.9762,0.0603,3.0365,ok
ArticularyWordRecognition,stl_tree,100,1,0.0,True,9,0.7066666666666666,1.0196,0.0603,1.0799,ok
