dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
AtrialFibrillation,stl_linear,100,1,0.0,True,0,0.3333333333333333,0.6307,0.6592,1.2899,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,0,0.26666666666666666,2.4259,0.6592,3.0851,ok
AtrialFibrillation,stl_linear,100,1,0.0,True,1,0.26666666666666666,0.6215,0.0361,0.6576,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,1,0.20000000000000004,0.2481,0.0361,0.2842,ok
AtrialFibrillation,stl_linear,100,1,0.0,True,2,0.3333333333333333,0.5991,0.1057,0.7048,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,2,0.20000000000000004,0.2077,0.1057,0.3134,ok
AtrialFibrillation,stl_linear,100,1,0.0,True,3,0.4000000000000001,0.606,0.0694,0.6754,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,3,0.3333333333333333,0.2457,0.0694,0.3151,ok
AtrialFibrillation,stl_linear,100,1,0.0,True,4,0.3333333333333333,0.58,0.0336,0.6136,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,4,0.3333333333333333,0.1796,0.0336,0.2132,ok
AtrialFibrillation,stl_linear,100,1,0.0,True,5,0.3333333333333333,0.5893,0.0331,0.6224,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,5,0.20000000000000004,0.2344,0.0331,0.2675,ok
AtrialFibrillation,stl_linear,100,1,0.0,True,6,0.3333333333333333,0.6385,0.0324,0.6709,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,6,0.26666666666666666,0.238,0.0324,0.2704,ok
AtrialFibrillation,stl_linear,100,1,0.0,True,7,0.3333333333333333,0.6228,0.1182,0.741,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,7,0.19999999999999998,0.2001,0.1182,0.3183,ok
AtrialFibrillation,stl_linear,100,1,0.0,True,8,0.26666666666666666,0.602,0.0344,0.6364,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,8,0.26666666666666666,0.2557,0.0344,0.2901,ok
AtrialFibrillation,stl_linear,100,1,0.0,True,9,0.13333333333333333,0.5952,0.0359,0.6311,ok
AtrialFibrillation,stl_tree,100,1,0.0,True,9,0.13333333333333333,0.2352,0.0359,0.2711,ok
