dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
AtrialFibrillation,stl_linear,1000,1,0.0,True,0,0.26666666666666666,0.5813,0.3345,0.9158,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,0,0.26666666666666666,2.5858,0.3345,2.9203,ok
AtrialFibrillation,stl_linear,1000,1,0.0,True,1,0.3333333333333333,0.626,0.3293,0.9553,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,1,0.3333333333333333,0.3816,0.3293,0.7109,ok
AtrialFibrillation,stl_linear,1000,1,0.0,True,2,0.3333333333333333,0.6416,0.3202,0.9618,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,2,0.20000000000000004,0.3394,0.3202,0.6596,ok
AtrialFibrillation,stl_linear,1000,1,0.0,True,3,0.3333333333333333,0.6148,0.3107,0.9255,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,3,0.20000000000000004,0.3272,0.3107,0.6379,ok
AtrialFibrillation,stl_linear,1000,1,0.0,True,4,0.19999999999999998,0.6202,0.3214,0.9416,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,4,0.19999999999999998,0.3142,0.3214,0.6356,ok
AtrialFibrillation,stl_linear,1000,1,0.0,True,5,0.13333333333333333,0.6143,0.3204,0.9347,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,5,0.26666666666666666,0.3157,0.3204,0.6361,ok
AtrialFibrillation,stl_linear,1000,1,0.0,True,6,0.39999999999999997,0.6172,0.3182,0.9354,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,6,0.4000000000000001,0.3319,0.3182,0.6501,ok
AtrialFibrillation,stl_linear,1000,1,0.0,True,7,0.26666666666666666,0.6046,0.3193,0.9239,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,7,0.13333333333333333,0.3055,0.3193,0.6248,ok
AtrialFibrillation,stl_linear,1000,1,0.0,True,8,0.4000000000000001,0.5742,0.3304,0.9046,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,8,0.39999999999999997,0.3103,0.3304,0.6407,ok
AtrialFibrillation,stl_linear,1000,1,0.0,True,9,0.3333333333333333,0.5793,0.3176,0.8969,ok
AtrialFibrillation,stl_tree,1000,1,0.0,True,9,0.13333333333333333,0.3233,0.3176,0.6409,ok
