dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
AtrialFibrillation,stl_linear,10000,1,0.0,True,0,0.3333333333333333,0.7759,3.3696,4.1455,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,0,0.4000000000000001,3.1159,3.3696,6.4855,ok
AtrialFibrillation,stl_linear,10000,1,0.0,True,1,0.19999999999999998,0.8864,3.5856,4.472,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,1,0.26666666666666666,0.8608,3.5856,4.4464,ok
AtrialFibrillation,stl_linear,10000,1,0.0,True,2,0.3333333333333333,0.7874,3.4202,4.2076,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,2,0.3333333333333333,0.8734,3.4202,4.2936,ok
AtrialFibrillation,stl_linear,10000,1,0.0,True,3,0.26666666666666666,0.8001,3.373,4.1731,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,3,0.4666666666666666,0.846,3.373,4.219,ok
AtrialFibrillation,stl_linear,10000,1,0.0,True,4,0.3333333333333333,0.761,3.4157,4.1767,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,4,0.39999999999999997,0.8316,3.4157,4.2473,ok
AtrialFibrillation,stl_linear,10000,1,0.0,True,5,0.4000000000000001,0.786,3.4293,4.2153,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,5,0.20000000000000004,0.8455,3.4293,4.2748,ok
AtrialFibrillation,stl_linear,10000,1,0.0,True,6,0.4000000000000001,0.7834,3.3609,4.1443,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,6,0.39999999999999997,0.8391,3.3609,4.2,ok
AtrialFibrillation,stl_linear,10000,1,0.0,True,7,0.4666666666666666,0.7894,3.3897,4.1791,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,7,0.26666666666666666,0.826,3.3897,4.2157,ok
AtrialFibrillation,stl_linear,10000,1,0.0,True,8,0.4000000000000001,0.7499,3.3206,4.0705,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,8,0.26666666666666666,0.8454,3.3206,4.166,ok
AtrialFibrillation,stl_linear,10000,1,0.0,True,9,0.3333333333333333,0.8158,3.3909,4.2067,ok
AtrialFibrillation,stl_tree,10000,1,0.0,True,9,0.3333333333333333,0.8542,3.3909,4.2451,ok
