dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,10,1,0.0,True,0,0.875,0.8826,0.746,1.6286,ok
BasicMotions,stl_tree,10,1,0.0,True,0,0.85,3.4118,0.746,4.1578,ok
BasicMotions,stl_linear,10,1,0.0,True,1,0.95,0.8889,0.0053,0.8942,ok
BasicMotions,stl_tree,10,1,0.0,True,1,0.95,0.1869,0.0053,0.1922,ok
BasicMotions,stl_linear,10,1,0.0,True,2,0.875,0.7779,0.005,0.7829,ok
BasicMotions,stl_tree,10,1,0.0,True,2,0.825,0.1917,0.005,0.1967,ok
BasicMotions,stl_linear,10,1,0.0,True,3,0.725,0.8373,0.0046,0.8419,ok
BasicMotions,stl_tree,10,1,0.0,True,3,0.7499999999999999,0.1957,0.0046,0.2003,ok
BasicMotions,stl_linear,10,1,0.0,True,4,0.925,0.7799,0.0049,0.7848,ok
BasicMotions,stl_tree,10,1,0.0,True,4,0.8,0.2078,0.0049,0.2127,ok
BasicMotions,stl_linear,10,1,0.0,True,5,0.9,0.7834,0.0048,0.7882,ok
BasicMotions,stl_tree,10,1,0.0,True,5,0.975,0.2042,0.0048,0.209,ok
BasicMotions,stl_linear,10,1,0.0,True,6,0.9249999999999999,0.8127,0.0044,0.8171,ok
BasicMotions,stl_tree,10,1,0.0,True,6,0.8500000000000001,0.1876,0.0044,0.192,ok
BasicMotions,stl_linear,10,1,0.0,True,7,0.725,0.8578,0.0048,0.8626,ok
BasicMotions,stl_tree,10,1,0.0,True,7,0.875,0.1868,0.0048,0.1916,ok
BasicMotions,stl_linear,10,1,0.0,True,8,0.9,0.7031,0.0048,0.7079,ok
BasicMotions,stl_tree,10,1,0.0,True,8,0.975,0.1889,0.0048,0.1937,ok
BasicMotions,stl_linear,10,1,0.0,True,9,0.8999999999999999,0.7385,0.005,0.7435,ok
BasicMotions,stl_tree,10,1,0.0,True,9,0.975,0.1852,0.005,0.1902,ok
