dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,100,1,0.0,True,0,0.875,0.8246,0.0486,0.8732,ok
BasicMotions,stl_tree,100,1,0.0,True,0,0.925,2.3731,0.0486,2.4217,ok
BasicMotions,stl_linear,100,1,0.0,True,1,0.875,0.7813,0.0319,0.8132,ok
BasicMotions,stl_tree,100,1,0.0,True,1,0.8250000000000001,0.216,0.0319,0.2479,ok
BasicMotions,stl_linear,100,1,0.0,True,2,0.95,0.875,0.0317,0.9067,ok
BasicMotions,stl_tree,100,1,0.0,True,2,1.0,0.2327,0.0317,0.2644,ok
BasicMotions,stl_linear,100,1,0.0,True,3,0.95,0.8277,0.0303,0.858,ok
BasicMotions,stl_tree,100,1,0.0,True,3,0.7749999999999999,0.2366,0.0303,0.2669,ok
BasicMotions,stl_linear,100,1,0.0,True,4,0.975,0.8426,0.0305,0.8731,ok
BasicMotions,stl_tree,100,1,0.0,True,4,0.875,0.2011,0.0305,0.2316,ok
BasicMotions,stl_linear,100,1,0.0,True,5,0.85,0.8183,0.03,0.8483,ok
BasicMotions,stl_tree,100,1,0.0,True,5,0.975,0.215,0.03,0.245,ok
BasicMotions,stl_linear,100,1,0.0,True,6,0.85,0.8118,0.03,0.8418,ok
BasicMotions,stl_tree,100,1,0.0,True,6,0.95,0.2133,0.03,0.2433,ok
BasicMotions,stl_linear,100,1,0.0,True,7,0.85,0.7728,0.0309,0.8037,ok
BasicMotions,stl_tree,100,1,0.0,True,7,0.9,0.2148,0.0309,0.2457,ok
BasicMotions,stl_linear,100,1,0.0,True,8,0.875,0.8136,0.0316,0.8452,ok
BasicMotions,stl_tree,100,1,0.0,True,8,0.925,0.2105,0.0316,0.2421,ok
BasicMotions,stl_linear,100,1,0.0,True,9,0.85,0.7975,0.0314,0.8289,ok
BasicMotions,stl_tree,100,1,0.0,True,9,0.9249999999999999,0.2146,0.0314,0.246,ok
