dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,1000,1,0.0,True,0,0.8999999999999999,1.0559,0.3201,1.376,ok
BasicMotions,stl_tree,1000,1,0.0,True,0,0.9,2.6154,0.3201,2.9355,ok
BasicMotions,stl_linear,1000,1,0.0,True,1,0.85,1.1321,0.3879,1.52,ok
BasicMotions,stl_tree,1000,1,0.0,True,1,0.8999999999999999,0.494,0.3879,0.8819,ok
BasicMotions,stl_linear,1000,1,0.0,True,2,0.875,1.0591,0.2938,1.3529,ok
BasicMotions,stl_tree,1000,1,0.0,True,2,0.8500000000000001,0.5082,0.2938,0.802,ok
BasicMotions,stl_linear,1000,1,0.0,True,3,0.9,1.0842,0.2874,1.3716,ok
BasicMotions,stl_tree,1000,1,0.0,True,3,0.975,0.4931,0.2874,0.7805,ok
BasicMotions,stl_linear,1000,1,0.0,True,4,0.85,1.0696,0.3831,1.4527,ok
BasicMotions,stl_tree,1000,1,0.0,True,4,0.875,0.4944,0.3831,0.8775,ok
BasicMotions,stl_linear,1000,1,0.0,True,5,0.825,1.218,0.3753,1.5933,ok
BasicMotions,stl_tree,1000,1,0.0,True,5,0.95,0.5153,0.3753,0.8906,ok
BasicMotions,stl_linear,1000,1,0.0,True,6,0.825,1.0933,0.2912,1.3845,ok
BasicMotions,stl_tree,1000,1,0.0,True,6,0.8999999999999999,0.4957,0.2912,0.7869,ok
BasicMotions,stl_linear,1000,1,0.0,True,7,0.7749999999999999,1.2397,0.3836,1.6233,ok
BasicMotions,stl_tree,1000,1,0.0,True,7,0.95,0.5127,0.3836,0.8963,ok
BasicMotions,stl_linear,1000,1,0.0,True,8,0.7999999999999999,1.1155,0.2882,1.4037,ok
BasicMotions,stl_tree,1000,1,0.0,True,8,0.925,0.4749,0.2882,0.7631,ok
BasicMotions,stl_linear,1000,1,0.0,True,9,0.75,1.186,0.2977,1.4837,ok
BasicMotions,stl_tree,1000,1,0.0,True,9,0.8500000000000001,0.4849,0.2977,0.7826,ok
