dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,10000,1,0.0,True,0,0.8500000000000001,4.3106,3.0891,7.3997,ok
BasicMotions,stl_tree,10000,1,0.0,True,0,0.925,5.1749,3.0891,8.264,ok
BasicMotions,stl_linear,10000,1,0.0,True,1,0.8999999999999999,4.8607,3.159,8.0197,ok
BasicMotions,stl_tree,10000,1,0.0,True,1,0.925,2.5214,3.159,5.6804,ok
BasicMotions,stl_linear,10000,1,0.0,True,2,0.9,4.3929,3.1442,7.5371,ok
BasicMotions,stl_tree,10000,1,0.0,True,2,0.875,2.9079,3.1442,6.0521,ok
BasicMotions,stl_linear,10000,1,0.0,True,3,0.825,4.708,3.1357,7.8437,ok
BasicMotions,stl_tree,10000,1,0.0,True,3,1.0,2.91,3.1357,6.0457,ok
BasicMotions,stl_linear,10000,1,0.0,True,4,0.875,4.6928,3.1498,7.8426,ok
BasicMotions,stl_tree,10000,1,0.0,True,4,0.95,2.6083,3.1498,5.7581,ok
BasicMotions,stl_linear,10000,1,0.0,True,5,0.8,4.2978,3.0665,7.3643,ok
BasicMotions,stl_tree,10000,1,0.0,True,5,0.875,2.7572,3.0665,5.8237,ok
BasicMotions,stl_linear,10000,1,0.0,True,6,0.9249999999999999,4.3215,3.0308,7.3523,ok
BasicMotions,stl_tree,10000,1,0.0,True,6,0.975,2.8743,3.0308,5.9051,ok
BasicMotions,stl_linear,10000,1,0.0,True,7,0.8999999999999999,4.7344,3.0957,7.8301,ok
BasicMotions,stl_tree,10000,1,0.0,True,7,0.9,2.8551,3.0957,5.9508,ok
BasicMotions,stl_linear,10000,1,0.0,True,8,0.85,4.6796,3.0758,7.7554,ok
BasicMotions,stl_tree,10000,1,0.0,True,8,0.875,2.5083,3.0758,5.5841,ok
BasicMotions,stl_linear,10000,1,0.0,True,9,0.825,4.64,3.1041,7.7441,ok
BasicMotions,stl_tree,10000,1,0.0,True,9,0.95,2.7941,3.1041,5.8982,ok
