dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,10,1,0.0,True,0,0.875,0.8042,0.0224,0.8266,ok
BasicMotions,stl_tree,10,1,0.0,True,0,0.85,2.4516,0.0224,2.474,ok
BasicMotions,stl_linear,10,1,0.0,True,1,0.95,0.8753,0.0052,0.8805,ok
BasicMotions,stl_tree,10,1,0.0,True,1,0.95,0.2054,0.0052,0.2106,ok
BasicMotions,stl_linear,10,1,0.0,True,2,0.875,0.7637,0.0049,0.7686,ok
BasicMotions,stl_tree,10,1,0.0,True,2,0.825,0.1825,0.0049,0.1874,ok
BasicMotions,stl_linear,10,1,0.0,True,3,0.725,0.8422,0.0046,0.8468,ok
BasicMotions,stl_tree,10,1,0.0,True,3,0.7499999999999999,0.2024,0.0046,0.207,ok
BasicMotions,stl_linear,10,1,0.0,True,4,0.925,0.7665,0.0048,0.7713,ok
BasicMotions,stl_tree,10,1,0.0,True,4,0.8,0.2011,0.0048,0.2059,ok
BasicMotions,stl_linear,10,1,0.0,True,5,0.9,0.7838,0.0048,0.7886,ok
BasicMotions,stl_tree,10,1,0.0,True,5,0.975,0.186,0.0048,0.1908,ok
BasicMotions,stl_linear,10,1,0.0,True,6,0.9249999999999999,0.8165,0.0044,0.8209,ok
BasicMotions,stl_tree,10,1,0.0,True,6,0.8500000000000001,0.1935,0.0044,0.1979,ok
BasicMotions,stl_linear,10,1,0.0,True,7,0.725,0.8542,0.0049,0.8591,ok
BasicMotions,stl_tree,10,1,0.0,True,7,0.875,0.178,0.0049,0.1829,ok
BasicMotions,stl_linear,10,1,0.0,True,8,0.9,0.7067,0.0048,0.7115,ok
BasicMotions,stl_tree,10,1,0.0,True,8,0.975,0.1856,0.0048,0.1904,ok
BasicMotions,stl_linear,10,1,0.0,True,9,0.8999999999999999,0.7467,0.0049,0.7516,ok
BasicMotions,stl_tree,10,1,0.0,True,9,0.975,0.1836,0.0049,0.1885,ok
