dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,100,1,0.0,True,0,0.875,0.8297,0.036,0.8657,ok
BasicMotions,stl_tree,100,1,0.0,True,0,0.925,2.4102,0.036,2.4462,ok
BasicMotions,stl_linear,100,1,0.0,True,1,0.875,0.7712,0.0406,0.8118,ok
BasicMotions,stl_tree,100,1,0.0,True,1,0.8250000000000001,0.2178,0.0406,0.2584,ok
BasicMotions,stl_linear,100,1,0.0,True,2,0.95,0.892,0.0311,0.9231,ok
BasicMotions,stl_tree,100,1,0.0,True,2,1.0,0.2225,0.0311,0.2536,ok
BasicMotions,stl_linear,100,1,0.0,True,3,0.95,0.833,0.0302,0.8632,ok
BasicMotions,stl_tree,100,1,0.0,True,3,0.7749999999999999,0.2177,0.0302,0.2479,ok
BasicMotions,stl_linear,100,1,0.0,True,4,0.975,0.8426,0.0301,0.8727,ok
BasicMotions,stl_tree,100,1,0.0,True,4,0.875,0.209,0.0301,0.2391,ok
BasicMotions,stl_linear,100,1,0.0,True,5,0.85,0.83,0.0297,0.8597,ok
BasicMotions,stl_tree,100,1,0.0,True,5,0.975,0.2439,0.0297,0.2736,ok
BasicMotions,stl_linear,100,1,0.0,True,6,0.85,0.8427,0.0317,0.8744,ok
BasicMotions,stl_tree,100,1,0.0,True,6,0.95,0.2202,0.0317,0.2519,ok
BasicMotions,stl_linear,100,1,0.0,True,7,0.85,0.7726,0.0312,0.8038,ok
BasicMotions,stl_tree,100,1,0.0,True,7,0.9,0.2219,0.0312,0.2531,ok
BasicMotions,stl_linear,100,1,0.0,True,8,0.875,0.817,0.0309,0.8479,ok
BasicMotions,stl_tree,100,1,0.0,True,8,0.925,0.2103,0.0309,0.2412,ok
BasicMotions,stl_linear,100,1,0.0,True,9,0.85,0.8069,0.0414,0.8483,ok
BasicMotions,stl_tree,100,1,0.0,True,9,0.9249999999999999,0.2149,0.0414,0.2563,ok
