dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,1000,1,0.0,True,0,0.8999999999999999,1.047,0.3164,1.3634,ok
BasicMotions,stl_tree,1000,1,0.0,True,0,0.9,2.6539,0.3164,2.9703,ok
BasicMotions,stl_linear,1000,1,0.0,True,1,0.85,1.1371,0.2976,1.4347,ok
BasicMotions,stl_tree,1000,1,0.0,True,1,0.8999999999999999,0.482,0.2976,0.7796,ok
BasicMotions,stl_linear,1000,1,0.0,True,2,0.875,1.0754,0.2946,1.37,ok
BasicMotions,stl_tree,1000,1,0.0,True,2,0.8500000000000001,0.492,0.2946,0.7866,ok
BasicMotions,stl_linear,1000,1,0.0,True,3,0.9,1.0657,0.2899,1.3556,ok
BasicMotions,stl_tree,1000,1,0.0,True,3,0.975,0.5051,0.2899,0.795,ok
BasicMotions,stl_linear,1000,1,0.0,True,4,0.85,1.1544,0.2992,1.4536,ok
BasicMotions,stl_tree,1000,1,0.0,True,4,0.875,0.4896,0.2992,0.7888,ok
BasicMotions,stl_linear,1000,1,0.0,True,5,0.825,1.2251,0.2861,1.5112,ok
BasicMotions,stl_tree,1000,1,0.0,True,5,0.95,0.5401,0.2861,0.8262,ok
BasicMotions,stl_linear,1000,1,0.0,True,6,0.825,1.1068,0.2902,1.397,ok
BasicMotions,stl_tree,1000,1,0.0,True,6,0.8999999999999999,0.4989,0.2902,0.7891,ok
BasicMotions,stl_linear,1000,1,0.0,True,7,0.7749999999999999,1.2118,0.2894,1.5012,ok
BasicMotions,stl_tree,1000,1,0.0,True,7,0.95,0.5047,0.2894,0.7941,ok
BasicMotions,stl_linear,1000,1,0.0,True,8,0.7999999999999999,1.0987,0.2919,1.3906,ok
BasicMotions,stl_tree,1000,1,0.0,True,8,0.925,0.4877,0.2919,0.7796,ok
BasicMotions,stl_linear,1000,1,0.0,True,9,0.75,1.1901,0.3056,1.4957,ok
BasicMotions,stl_tree,1000,1,0.0,True,9,0.8500000000000001,0.4958,0.3056,0.8014,ok
