dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,10000,1,0.0,True,0,0.8500000000000001,4.483,3.0199,7.5029,ok
BasicMotions,stl_tree,10000,1,0.0,True,0,0.925,4.9736,3.0199,7.9935,ok
BasicMotions,stl_linear,10000,1,0.0,True,1,0.8999999999999999,4.6974,3.1811,7.8785,ok
BasicMotions,stl_tree,10000,1,0.0,True,1,0.925,2.5586,3.1811,5.7397,ok
BasicMotions,stl_linear,10000,1,0.0,True,2,0.9,4.1486,3.111,7.2596,ok
BasicMotions,stl_tree,10000,1,0.0,True,2,0.875,2.8061,3.111,5.9171,ok
BasicMotions,stl_linear,10000,1,0.0,True,3,0.825,4.1384,3.0615,7.1999,ok
BasicMotions,stl_tree,10000,1,0.0,True,3,1.0,2.8422,3.0615,5.9037,ok
BasicMotions,stl_linear,10000,1,0.0,True,4,0.875,4.4381,3.1222,7.5603,ok
BasicMotions,stl_tree,10000,1,0.0,True,4,0.95,2.454,3.1222,5.5762,ok
BasicMotions,stl_linear,10000,1,0.0,True,5,0.8,4.1781,2.9984,7.1765,ok
BasicMotions,stl_tree,10000,1,0.0,True,5,0.875,2.7214,2.9984,5.7198,ok
BasicMotions,stl_linear,10000,1,0.0,True,6,0.9249999999999999,4.205,3.397,7.602,ok
BasicMotions,stl_tree,10000,1,0.0,True,6,0.975,2.8622,3.397,6.2592,ok
BasicMotions,stl_linear,10000,1,0.0,True,7,0.8999999999999999,4.507,3.0696,7.5766,ok
BasicMotions,stl_tree,10000,1,0.0,True,7,0.9,2.7982,3.0696,5.8678,ok
BasicMotions,stl_linear,10000,1,0.0,True,8,0.85,4.7363,3.0981,7.8344,ok
BasicMotions,stl_tree,10000,1,0.0,True,8,0.875,2.5135,3.0981,5.6116,ok
BasicMotions,stl_linear,10000,1,0.0,True,9,0.825,4.885,3.0637,7.9487,ok
BasicMotions,stl_tree,10000,1,0.0,True,9,0.95,2.8381,3.0637,5.9018,ok
