dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,10,2,0.0,True,0,0.75,0.8305,0.0236,0.8541,ok
BasicMotions,stl_tree,10,2,0.0,True,0,0.875,2.4681,0.0236,2.4917,ok
BasicMotions,stl_linear,10,2,0.0,True,1,1.0,0.8557,0.0056,0.8613,ok
BasicMotions,stl_tree,10,2,0.0,True,1,0.9,0.2148,0.0056,0.2204,ok
BasicMotions,stl_linear,10,2,0.0,True,2,0.925,0.8003,0.0055,0.8058,ok
BasicMotions,stl_tree,10,2,0.0,True,2,0.8999999999999999,0.2199,0.0055,0.2254,ok
BasicMotions,stl_linear,10,2,0.0,True,3,0.7999999999999999,0.8914,0.0049,0.8963,ok
BasicMotions,stl_tree,10,2,0.0,True,3,0.875,0.244,0.0049,0.2489,ok
BasicMotions,stl_linear,10,2,0.0,True,4,0.825,0.927,0.006,0.933,ok
BasicMotions,stl_tree,10,2,0.0,True,4,0.8,0.1993,0.006,0.2053,ok
BasicMotions,stl_linear,10,2,0.0,True,5,0.7749999999999999,0.8754,0.0061,0.8815,ok
BasicMotions,stl_tree,10,2,0.0,True,5,0.875,0.2122,0.0061,0.2183,ok
BasicMotions,stl_linear,10,2,0.0,True,6,1.0,0.8548,0.0057,0.8605,ok
BasicMotions,stl_tree,10,2,0.0,True,6,0.925,0.1973,0.0057,0.203,ok
BasicMotions,stl_linear,10,2,0.0,True,7,0.975,1.0054,0.0061,1.0115,ok
BasicMotions,stl_tree,10,2,0.0,True,7,0.925,0.1935,0.0061,0.1996,ok
BasicMotions,stl_linear,10,2,0.0,True,8,0.875,0.7855,0.0059,0.7914,ok
BasicMotions,stl_tree,10,2,0.0,True,8,1.0,0.2172,0.0059,0.2231,ok
BasicMotions,stl_linear,10,2,0.0,True,9,0.95,0.8191,0.0074,0.8265,ok
BasicMotions,stl_tree,10,2,0.0,True,9,0.95,0.1895,0.0074,0.1969,ok
