dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,100,2,0.0,True,0,0.975,0.7095,0.0572,0.7667,ok
BasicMotions,stl_tree,100,2,0.0,True,0,0.85,2.6033,0.0572,2.6605,ok
BasicMotions,stl_linear,100,2,0.0,True,1,0.95,0.7484,0.04,0.7884,ok
BasicMotions,stl_tree,100,2,0.0,True,1,0.925,0.2352,0.04,0.2752,ok
BasicMotions,stl_linear,100,2,0.0,True,2,0.975,0.7395,0.0384,0.7779,ok
BasicMotions,stl_tree,100,2,0.0,True,2,0.875,0.2249,0.0384,0.2633,ok
BasicMotions,stl_linear,100,2,0.0,True,3,0.95,0.7186,0.0366,0.7552,ok
BasicMotions,stl_tree,100,2,0.0,True,3,0.9,0.2268,0.0366,0.2634,ok
BasicMotions,stl_linear,100,2,0.0,True,4,0.8999999999999999,0.7102,0.0373,0.7475,ok
BasicMotions,stl_tree,100,2,0.0,True,4,0.925,0.2246,0.0373,0.2619,ok
BasicMotions,stl_linear,100,2,0.0,True,5,0.875,0.6751,0.0362,0.7113,ok
BasicMotions,stl_tree,100,2,0.0,True,5,0.95,0.2271,0.0362,0.2633,ok
BasicMotions,stl_linear,100,2,0.0,True,6,0.8999999999999999,0.6662,0.0371,0.7033,ok
BasicMotions,stl_tree,100,2,0.0,True,6,0.9,0.2316,0.0371,0.2687,ok
BasicMotions,stl_linear,100,2,0.0,True,7,0.8,0.8188,0.0369,0.8557,ok
BasicMotions,stl_tree,100,2,0.0,True,7,0.925,0.2353,0.0369,0.2722,ok
BasicMotions,stl_linear,100,2,0.0,True,8,1.0,0.6435,0.0358,0.6793,ok
BasicMotions,stl_tree,100,2,0.0,True,8,1.0,0.2072,0.0358,0.243,ok
BasicMotions,stl_linear,100,2,0.0,True,9,0.95,0.6,0.0382,0.6382,ok
BasicMotions,stl_tree,100,2,0.0,True,9,0.8999999999999999,0.211,0.0382,0.2492,ok
