dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,1000,2,0.0,True,0,0.25,0.6843,0.3667,1.051,ok
BasicMotions,stl_tree,1000,2,0.0,True,0,0.7,2.7272,0.3667,3.0939,ok
BasicMotions,stl_linear,1000,2,0.0,True,1,1.0,0.7221,0.355,1.0771,ok
BasicMotions,stl_tree,1000,2,0.0,True,1,0.8500000000000001,0.5238,0.355,0.8788,ok
BasicMotions,stl_linear,1000,2,0.0,True,2,1.0,0.7004,0.3591,1.0595,ok
BasicMotions,stl_tree,1000,2,0.0,True,2,0.9,0.5059,0.3591,0.865,ok
BasicMotions,stl_linear,1000,2,0.0,True,3,0.95,0.729,0.3548,1.0838,ok
BasicMotions,stl_tree,1000,2,0.0,True,3,0.975,0.5051,0.3548,0.8599,ok
BasicMotions,stl_linear,1000,2,0.0,True,4,1.0,0.6832,0.3537,1.0369,ok
BasicMotions,stl_tree,1000,2,0.0,True,4,0.8250000000000001,0.5066,0.3537,0.8603,ok
BasicMotions,stl_linear,1000,2,0.0,True,5,0.95,0.7572,0.3477,1.1049,ok
BasicMotions,stl_tree,1000,2,0.0,True,5,0.975,0.4927,0.3477,0.8404,ok
BasicMotions,stl_linear,1000,2,0.0,True,6,0.925,0.7674,0.3607,1.1281,ok
BasicMotions,stl_tree,1000,2,0.0,True,6,0.875,0.4853,0.3607,0.846,ok
BasicMotions,stl_linear,1000,2,0.0,True,7,0.95,0.759,0.3535,1.1125,ok
BasicMotions,stl_tree,1000,2,0.0,True,7,0.875,0.5145,0.3535,0.868,ok
BasicMotions,stl_linear,1000,2,0.0,True,8,0.975,0.726,0.354,1.08,ok
BasicMotions,stl_tree,1000,2,0.0,True,8,0.875,0.4927,0.354,0.8467,ok
BasicMotions,stl_linear,1000,2,0.0,True,9,0.975,0.6894,0.3559,1.0453,ok
BasicMotions,stl_tree,1000,2,0.0,True,9,0.95,0.4962,0.3559,0.8521,ok
