dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,10000,2,0.0,True,0,0.975,2.3303,5.2036,7.5339,ok
BasicMotions,stl_tree,10000,2,0.0,True,0,0.8999999999999999,4.8243,5.2036,10.0279,ok
BasicMotions,stl_linear,10000,2,0.0,True,1,0.975,2.2103,6.4333,8.6436,ok
BasicMotions,stl_tree,10000,2,0.0,True,1,0.925,2.6897,6.4333,9.123,ok
BasicMotions,stl_linear,10000,2,0.0,True,2,1.0,2.1638,3.9306,6.0944,ok
BasicMotions,stl_tree,10000,2,0.0,True,2,0.875,2.8889,3.9306,6.8195,ok
BasicMotions,stl_linear,10000,2,0.0,True,3,0.975,2.4149,3.9056,6.3205,ok
BasicMotions,stl_tree,10000,2,0.0,True,3,0.9,2.7224,3.9056,6.628,ok
BasicMotions,stl_linear,10000,2,0.0,True,4,0.975,2.0535,4.0245,6.078,ok
BasicMotions,stl_tree,10000,2,0.0,True,4,0.875,2.8798,4.0245,6.9043,ok
BasicMotions,stl_linear,10000,2,0.0,True,5,0.975,2.1082,4.0357,6.1439,ok
BasicMotions,stl_tree,10000,2,0.0,True,5,0.875,2.8018,4.0357,6.8375,ok
BasicMotions,stl_linear,10000,2,0.0,True,6,0.975,2.2856,4.2665,6.5521,ok
BasicMotions,stl_tree,10000,2,0.0,True,6,0.95,2.6255,4.2665,6.892,ok
BasicMotions,stl_linear,10000,2,0.0,True,7,0.975,2.9428,5.1054,8.0482,ok
BasicMotions,stl_tree,10000,2,0.0,True,7,0.8500000000000001,2.9247,5.1054,8.0301,ok
BasicMotions,stl_linear,10000,2,0.0,True,8,0.95,2.1768,4.8729,7.0497,ok
BasicMotions,stl_tree,10000,2,0.0,True,8,0.875,2.8533,4.8729,7.7262,ok
BasicMotions,stl_linear,10000,2,0.0,True,9,0.925,2.1529,11.5484,13.7013,ok
BasicMotions,stl_tree,10000,2,0.0,True,9,0.975,3.0082,11.5484,14.5566,ok
