dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,10,3,0.0,True,0,0.7999999999999999,0.9148,0.0245,0.9393,ok
BasicMotions,stl_tree,10,3,0.0,True,0,0.9,2.4383,0.0245,2.4628,ok
BasicMotions,stl_linear,10,3,0.0,True,1,0.85,0.7008,0.0068,0.7076,ok
BasicMotions,stl_tree,10,3,0.0,True,1,0.95,0.1949,0.0068,0.2017,ok
BasicMotions,stl_linear,10,3,0.0,True,2,0.85,0.7673,0.006,0.7733,ok
BasicMotions,stl_tree,10,3,0.0,True,2,0.875,0.1912,0.006,0.1972,ok
BasicMotions,stl_linear,10,3,0.0,True,3,0.75,0.886,0.0072,0.8932,ok
BasicMotions,stl_tree,10,3,0.0,True,3,0.95,0.2013,0.0072,0.2085,ok
BasicMotions,stl_linear,10,3,0.0,True,4,0.925,0.7046,0.0061,0.7107,ok
BasicMotions,stl_tree,10,3,0.0,True,4,1.0,0.1816,0.0061,0.1877,ok
BasicMotions,stl_linear,10,3,0.0,True,5,0.9,0.8072,0.0057,0.8129,ok
BasicMotions,stl_tree,10,3,0.0,True,5,0.8999999999999999,0.2002,0.0057,0.2059,ok
BasicMotions,stl_linear,10,3,0.0,True,6,0.875,0.7484,0.0058,0.7542,ok
BasicMotions,stl_tree,10,3,0.0,True,6,0.925,0.2035,0.0058,0.2093,ok
BasicMotions,stl_linear,10,3,0.0,True,7,0.85,0.6768,0.0066,0.6834,ok
BasicMotions,stl_tree,10,3,0.0,True,7,0.85,0.1824,0.0066,0.189,ok
BasicMotions,stl_linear,10,3,0.0,True,8,0.925,0.7263,0.0064,0.7327,ok
BasicMotions,stl_tree,10,3,0.0,True,8,0.825,0.1898,0.0064,0.1962,ok
BasicMotions,stl_linear,10,3,0.0,True,9,0.925,0.7268,0.0071,0.7339,ok
BasicMotions,stl_tree,10,3,0.0,True,9,0.95,0.2001,0.0071,0.2072,ok
