dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,100,3,0.0,True,0,0.975,0.7374,0.0616,0.799,ok
BasicMotions,stl_tree,100,3,0.0,True,0,0.975,2.6623,0.0616,2.7239,ok
BasicMotions,stl_linear,100,3,0.0,True,1,0.8500000000000001,0.7506,0.045,0.7956,ok
BasicMotions,stl_tree,100,3,0.0,True,1,0.8,0.2357,0.045,0.2807,ok
BasicMotions,stl_linear,100,3,0.0,True,2,0.85,0.6538,0.043,0.6968,ok
BasicMotions,stl_tree,100,3,0.0,True,2,0.9249999999999999,0.2223,0.043,0.2653,ok
BasicMotions,stl_linear,100,3,0.0,True,3,0.95,0.6919,0.044,0.7359,ok
BasicMotions,stl_tree,100,3,0.0,True,3,0.925,0.2345,0.044,0.2785,ok
BasicMotions,stl_linear,100,3,0.0,True,4,1.0,0.6793,0.0436,0.7229,ok
BasicMotions,stl_tree,100,3,0.0,True,4,0.975,0.2299,0.0436,0.2735,ok
BasicMotions,stl_linear,100,3,0.0,True,5,0.975,0.6159,0.0429,0.6588,ok
BasicMotions,stl_tree,100,3,0.0,True,5,0.95,0.2233,0.0429,0.2662,ok
BasicMotions,stl_linear,100,3,0.0,True,6,0.9,0.6072,0.0422,0.6494,ok
BasicMotions,stl_tree,100,3,0.0,True,6,0.9,0.2257,0.0422,0.2679,ok
BasicMotions,stl_linear,100,3,0.0,True,7,0.85,0.6503,0.047,0.6973,ok
BasicMotions,stl_tree,100,3,0.0,True,7,0.875,0.2406,0.047,0.2876,ok
BasicMotions,stl_linear,100,3,0.0,True,8,0.925,0.7869,0.0426,0.8295,ok
BasicMotions,stl_tree,100,3,0.0,True,8,1.0,0.2127,0.0426,0.2553,ok
BasicMotions,stl_linear,100,3,0.0,True,9,0.925,0.7805,0.0434,0.8239,ok
BasicMotions,stl_tree,100,3,0.0,True,9,0.875,0.2349,0.0434,0.2783,ok
