dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,1000,3,0.0,True,0,0.975,0.7212,0.4429,1.1641,ok
BasicMotions,stl_tree,1000,3,0.0,True,0,0.875,2.6004,0.4429,3.0433,ok
BasicMotions,stl_linear,1000,3,0.0,True,1,0.95,0.698,0.436,1.134,ok
BasicMotions,stl_tree,1000,3,0.0,True,1,0.7250000000000001,0.4963,0.436,0.9323,ok
BasicMotions,stl_linear,1000,3,0.0,True,2,0.95,0.7673,0.4258,1.1931,ok
BasicMotions,stl_tree,1000,3,0.0,True,2,0.9,0.5487,0.4258,0.9745,ok
BasicMotions,stl_linear,1000,3,0.0,True,3,0.925,0.8049,0.4334,1.2383,ok
BasicMotions,stl_tree,1000,3,0.0,True,3,0.95,0.5227,0.4334,0.9561,ok
BasicMotions,stl_linear,1000,3,0.0,True,4,1.0,0.8977,0.4395,1.3372,ok
BasicMotions,stl_tree,1000,3,0.0,True,4,0.925,0.5248,0.4395,0.9643,ok
BasicMotions,stl_linear,1000,3,0.0,True,5,0.975,0.6787,0.425,1.1037,ok
BasicMotions,stl_tree,1000,3,0.0,True,5,0.975,0.4861,0.425,0.9111,ok
BasicMotions,stl_linear,1000,3,0.0,True,6,0.8999999999999999,0.7152,0.4199,1.1351,ok
BasicMotions,stl_tree,1000,3,0.0,True,6,0.9,0.5068,0.4199,0.9267,ok
BasicMotions,stl_linear,1000,3,0.0,True,7,0.95,0.7423,0.4238,1.1661,ok
BasicMotions,stl_tree,1000,3,0.0,True,7,0.9,0.5189,0.4238,0.9427,ok
BasicMotions,stl_linear,1000,3,0.0,True,8,0.975,0.6892,0.4289,1.1181,ok
BasicMotions,stl_tree,1000,3,0.0,True,8,0.8500000000000001,0.4825,0.4289,0.9114,ok
BasicMotions,stl_linear,1000,3,0.0,True,9,1.0,0.7166,0.4251,1.1417,ok
BasicMotions,stl_tree,1000,3,0.0,True,9,0.825,0.464,0.4251,0.8891,ok
