dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,1000,1,1.0,True,0,0.95,0.7688,3.1007,3.8695,ok
BasicMotions,stl_tree,1000,1,1.0,True,0,0.875,2.8009,3.1007,5.9016,ok
BasicMotions,stl_linear,1000,1,1.0,True,1,0.9249999999999999,0.7888,2.9481,3.7369,ok
BasicMotions,stl_tree,1000,1,1.0,True,1,0.8999999999999999,0.5355,2.9481,3.4836,ok
BasicMotions,stl_linear,1000,1,1.0,True,2,1.0,0.7556,2.5578,3.3134,ok
BasicMotions,stl_tree,1000,1,1.0,True,2,0.95,0.5245,2.5578,3.0823,ok
BasicMotions,stl_linear,1000,1,1.0,True,3,1.0,0.7434,2.7589,3.5023,ok
BasicMotions,stl_tree,1000,1,1.0,True,3,0.925,0.5094,2.7589,3.2683,ok
BasicMotions,stl_linear,1000,1,1.0,True,4,0.95,0.7787,2.928,3.7067,ok
BasicMotions,stl_tree,1000,1,1.0,True,4,0.825,0.5303,2.928,3.4583,ok
BasicMotions,stl_linear,1000,1,1.0,True,5,0.975,0.7861,2.7388,3.5249,ok
BasicMotions,stl_tree,1000,1,1.0,True,5,0.8250000000000001,0.5258,2.7388,3.2646,ok
BasicMotions,stl_linear,1000,1,1.0,True,6,1.0,0.8685,2.6828,3.5513,ok
BasicMotions,stl_tree,1000,1,1.0,True,6,0.9,0.5243,2.6828,3.2071,ok
BasicMotions,stl_linear,1000,1,1.0,True,7,0.95,0.8535,2.8601,3.7136,ok
BasicMotions,stl_tree,1000,1,1.0,True,7,0.95,0.537,2.8601,3.3971,ok
BasicMotions,stl_linear,1000,1,1.0,True,8,0.9249999999999999,0.7453,2.7887,3.534,ok
BasicMotions,stl_tree,1000,1,1.0,True,8,0.9,0.5214,2.7887,3.3101,ok
BasicMotions,stl_linear,1000,1,1.0,True,9,0.95,0.7121,2.7199,3.432,ok
BasicMotions,stl_tree,1000,1,1.0,True,9,0.875,0.4948,2.7199,3.2147,ok
