dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,100,2,1.0,True,0,0.925,0.8023,0.4535,1.2558,ok
BasicMotions,stl_tree,100,2,1.0,True,0,0.9,2.8631,0.4535,3.3166,ok
BasicMotions,stl_linear,100,2,1.0,True,1,0.925,0.775,0.4367,1.2117,ok
BasicMotions,stl_tree,100,2,1.0,True,1,0.925,0.2669,0.4367,0.7036,ok
BasicMotions,stl_linear,100,2,1.0,True,2,0.925,0.7176,0.4817,1.1993,ok
BasicMotions,stl_tree,100,2,1.0,True,2,0.875,0.256,0.4817,0.7377,ok
BasicMotions,stl_linear,100,2,1.0,True,3,0.95,0.7152,0.4572,1.1724,ok
BasicMotions,stl_tree,100,2,1.0,True,3,1.0,0.227,0.4572,0.6842,ok
BasicMotions,stl_linear,100,2,1.0,True,4,1.0,0.7429,0.3766,1.1195,ok
BasicMotions,stl_tree,100,2,1.0,True,4,0.925,0.2287,0.3766,0.6053,ok
BasicMotions,stl_linear,100,2,1.0,True,5,0.8999999999999999,0.7347,0.4661,1.2008,ok
BasicMotions,stl_tree,100,2,1.0,True,5,0.925,0.2468,0.4661,0.7129,ok
BasicMotions,stl_linear,100,2,1.0,True,6,1.0,0.6646,0.4099,1.0745,ok
BasicMotions,stl_tree,100,2,1.0,True,6,0.925,0.2389,0.4099,0.6488,ok
BasicMotions,stl_linear,100,2,1.0,True,7,0.95,0.7377,0.3652,1.1029,ok
BasicMotions,stl_tree,100,2,1.0,True,7,0.925,0.239,0.3652,0.6042,ok
BasicMotions,stl_linear,100,2,1.0,True,8,0.925,0.6777,0.345,1.0227,ok
BasicMotions,stl_tree,100,2,1.0,True,8,0.925,0.2463,0.345,0.5913,ok
BasicMotions,stl_linear,100,2,1.0,True,9,1.0,0.6745,0.4379,1.1124,ok
BasicMotions,stl_tree,100,2,1.0,True,9,0.975,0.2447,0.4379,0.6826,ok
