dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,1000,2,1.0,True,0,1.0,0.7753,4.3028,5.0781,ok
BasicMotions,stl_tree,1000,2,1.0,True,0,0.9249999999999999,2.9462,4.3028,7.249,ok
BasicMotions,stl_linear,1000,2,1.0,True,1,0.925,0.7758,3.8263,4.6021,ok
BasicMotions,stl_tree,1000,2,1.0,True,1,0.7999999999999999,0.5631,3.8263,4.3894,ok
BasicMotions,stl_linear,1000,2,1.0,True,2,0.975,0.7432,3.9459,4.6891,ok
BasicMotions,stl_tree,1000,2,1.0,True,2,1.0,0.56,3.9459,4.5059,ok
BasicMotions,stl_linear,1000,2,1.0,True,3,0.95,0.7584,4.309,5.0674,ok
BasicMotions,stl_tree,1000,2,1.0,True,3,0.925,0.522,4.309,4.831,ok
BasicMotions,stl_linear,1000,2,1.0,True,4,1.0,0.7963,4.186,4.9823,ok
BasicMotions,stl_tree,1000,2,1.0,True,4,0.9,0.5816,4.186,4.7676,ok
BasicMotions,stl_linear,1000,2,1.0,True,5,0.95,0.8041,3.6847,4.4888,ok
BasicMotions,stl_tree,1000,2,1.0,True,5,0.875,0.5189,3.6847,4.2036,ok
BasicMotions,stl_linear,1000,2,1.0,True,6,0.8999999999999999,0.7378,3.9157,4.6535,ok
BasicMotions,stl_tree,1000,2,1.0,True,6,0.925,0.547,3.9157,4.4627,ok
BasicMotions,stl_linear,1000,2,1.0,True,7,1.0,0.7717,3.8635,4.6352,ok
BasicMotions,stl_tree,1000,2,1.0,True,7,0.9,0.5406,3.8635,4.4041,ok
BasicMotions,stl_linear,1000,2,1.0,True,8,0.9249999999999999,0.7525,3.7523,4.5048,ok
BasicMotions,stl_tree,1000,2,1.0,True,8,0.95,0.5331,3.7523,4.2854,ok
BasicMotions,stl_linear,1000,2,1.0,True,9,0.925,0.7587,3.9879,4.7466,ok
BasicMotions,stl_tree,1000,2,1.0,True,9,0.95,0.5381,3.9879,4.526,ok
