dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,stl_linear,1000,3,1.0,True,0,0.95,0.9484,6.0397,6.9881,ok
BasicMotions,stl_tree,1000,3,1.0,True,0,0.875,3.4476,6.0397,9.4873,ok
BasicMotions,stl_linear,1000,3,1.0,True,1,0.925,0.8207,5.3792,6.1999,ok
BasicMotions,stl_tree,1000,3,1.0,True,1,1.0,0.638,5.3792,6.0172,ok
BasicMotions,stl_linear,1000,3,1.0,True,2,1.0,0.8507,5.2891,6.1398,ok
BasicMotions,stl_tree,1000,3,1.0,True,2,0.95,0.7246,5.2891,6.0137,ok
BasicMotions,stl_linear,1000,3,1.0,True,3,1.0,0.8913,5.6922,6.5835,ok
BasicMotions,stl_tree,1000,3,1.0,True,3,0.8,0.6102,5.6922,6.3024,ok
BasicMotions,stl_linear,1000,3,1.0,True,4,0.95,0.8791,5.9168,6.7959,ok
BasicMotions,stl_tree,1000,3,1.0,True,4,0.95,0.5858,5.9168,6.5026,ok
BasicMotions,stl_linear,1000,3,1.0,True,5,0.975,0.9305,5.666,6.5965,ok
BasicMotions,stl_tree,1000,3,1.0,True,5,0.9,0.6812,5.666,6.3472,ok
BasicMotions,stl_linear,1000,3,1.0,True,6,0.975,0.8235,5.3482,6.1717,ok
BasicMotions,stl_tree,1000,3,1.0,True,6,0.875,0.6008,5.3482,5.949,ok
BasicMotions,stl_linear,1000,3,1.0,True,7,1.0,0.9032,5.8361,6.7393,ok
BasicMotions,stl_tree,1000,3,1.0,True,7,0.975,0.628,5.8361,6.4641,ok
BasicMotions,stl_linear,1000,3,1.0,True,8,0.9249999999999999,0.7861,5.8458,6.6319,ok
BasicMotions,stl_tree,1000,3,1.0,True,8,0.9,0.6246,5.8458,6.4704,ok
BasicMotions,stl_linear,1000,3,1.0,True,9,0.975,0.8307,6.0196,6.8503,ok
BasicMotions,stl_tree,1000,3,1.0,True,9,0.925,0.6287,6.0196,6.6483,ok
