dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,10,1,0.0,True,0,0.7638888888888888,1.2025,0.0265,1.229,ok
Cricket,stl_tree,10,1,0.0,True,0,0.7916666666666666,2.4637,0.0265,2.4902,ok
Cricket,stl_linear,10,1,0.0,True,1,0.6944444444444443,1.1457,0.0137,1.1594,ok
Cricket,stl_tree,10,1,0.0,True,1,0.6666666666666666,0.225,0.0137,0.2387,ok
Cricket,stl_linear,10,1,0.0,True,2,0.8472222222222222,1.1659,0.0104,1.1763,ok
Cricket,stl_tree,10,1,0.0,True,2,0.7916666666666666,0.204,0.0104,0.2144,ok
Cricket,stl_linear,10,1,0.0,True,3,0.8194444444444445,0.9837,0.0094,0.9931,ok
Cricket,stl_tree,10,1,0.0,True,3,0.7361111111111112,0.2137,0.0094,0.2231,ok
Cricket,stl_linear,10,1,0.0,True,4,0.7916666666666665,1.3338,0.0092,1.343,ok
Cricket,stl_tree,10,1,0.0,True,4,0.777777777777778,0.1966,0.0092,0.2058,ok
Cricket,stl_linear,10,1,0.0,True,5,0.736111111111111,1.0395,0.0101,1.0496,ok
Cricket,stl_tree,10,1,0.0,True,5,0.6944444444444443,0.2037,0.0101,0.2138,ok
Cricket,stl_linear,10,1,0.0,True,6,0.875,1.119,0.0088,1.1278,ok
Cricket,stl_tree,10,1,0.0,True,6,0.8194444444444445,0.1982,0.0088,0.207,ok
Cricket,stl_linear,10,1,0.0,True,7,0.6805555555555555,1.4732,0.0096,1.4828,ok
Cricket,stl_tree,10,1,0.0,True,7,0.513888888888889,0.208,0.0096,0.2176,ok
Cricket,stl_linear,10,1,0.0,True,8,0.6249999999999999,1.3123,0.0117,1.324,ok
Cricket,stl_tree,10,1,0.0,True,8,0.7222222222222222,0.2065,0.0117,0.2182,ok
Cricket,stl_linear,10,1,0.0,True,9,0.763888888888889,1.6287,0.0114,1.6401,ok
Cricket,stl_tree,10,1,0.0,True,9,0.638888888888889,0.2166,0.0114,0.228,ok
