dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,100,1,0.0,True,0,0.9027777777777777,1.0462,0.1137,1.1599,ok
Cricket,stl_tree,100,1,0.0,True,0,0.875,2.4934,0.1137,2.6071,ok
Cricket,stl_linear,100,1,0.0,True,1,0.9166666666666669,1.0292,0.0879,1.1171,ok
Cricket,stl_tree,100,1,0.0,True,1,0.7499999999999999,0.3883,0.0879,0.4762,ok
Cricket,stl_linear,100,1,0.0,True,2,0.8194444444444445,1.0847,0.0872,1.1719,ok
Cricket,stl_tree,100,1,0.0,True,2,0.8611111111111112,0.3387,0.0872,0.4259,ok
Cricket,stl_linear,100,1,0.0,True,3,0.9027777777777778,1.0236,0.0755,1.0991,ok
Cricket,stl_tree,100,1,0.0,True,3,0.875,0.3417,0.0755,0.4172,ok
Cricket,stl_linear,100,1,0.0,True,4,0.861111111111111,1.089,0.0781,1.1671,ok
Cricket,stl_tree,100,1,0.0,True,4,0.7361111111111112,0.3482,0.0781,0.4263,ok
Cricket,stl_linear,100,1,0.0,True,5,0.875,0.9981,0.0762,1.0743,ok
Cricket,stl_tree,100,1,0.0,True,5,0.8888888888888888,0.334,0.0762,0.4102,ok
Cricket,stl_linear,100,1,0.0,True,6,0.8611111111111112,1.0386,0.0786,1.1172,ok
Cricket,stl_tree,100,1,0.0,True,6,0.8611111111111112,0.353,0.0786,0.4316,ok
Cricket,stl_linear,100,1,0.0,True,7,0.9166666666666669,1.0452,0.0743,1.1195,ok
Cricket,stl_tree,100,1,0.0,True,7,0.888888888888889,0.3706,0.0743,0.4449,ok
Cricket,stl_linear,100,1,0.0,True,8,0.9027777777777778,1.0331,0.0734,1.1065,ok
Cricket,stl_tree,100,1,0.0,True,8,0.888888888888889,0.3533,0.0734,0.4267,ok
Cricket,stl_linear,100,1,0.0,True,9,0.9027777777777778,1.0512,0.0744,1.1256,ok
Cricket,stl_tree,100,1,0.0,True,9,0.8750000000000001,0.3558,0.0744,0.4302,ok
