dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,1000,1,0.0,True,0,0.9166666666666666,2.7566,0.9792,3.7358,ok
Cricket,stl_tree,1000,1,0.0,True,0,0.8333333333333334,4.0502,0.9792,5.0294,ok
Cricket,stl_linear,1000,1,0.0,True,1,0.9027777777777778,2.8668,0.9131,3.7799,ok
Cricket,stl_tree,1000,1,0.0,True,1,0.8888888888888892,1.9563,0.9131,2.8694,ok
Cricket,stl_linear,1000,1,0.0,True,2,0.9027777777777778,2.7913,0.8833,3.6746,ok
Cricket,stl_tree,1000,1,0.0,True,2,0.7777777777777778,1.8443,0.8833,2.7276,ok
Cricket,stl_linear,1000,1,0.0,True,3,0.9166666666666666,2.8761,0.7892,3.6653,ok
Cricket,stl_tree,1000,1,0.0,True,3,0.8472222222222223,1.867,0.7892,2.6562,ok
Cricket,stl_linear,1000,1,0.0,True,4,0.8194444444444445,2.7744,0.7319,3.5063,ok
Cricket,stl_tree,1000,1,0.0,True,4,0.8611111111111112,1.9123,0.7319,2.6442,ok
Cricket,stl_linear,1000,1,0.0,True,5,0.8611111111111113,2.6571,0.8386,3.4957,ok
Cricket,stl_tree,1000,1,0.0,True,5,0.7638888888888888,1.9934,0.8386,2.832,ok
Cricket,stl_linear,1000,1,0.0,True,6,0.888888888888889,2.8233,0.7917,3.615,ok
Cricket,stl_tree,1000,1,0.0,True,6,0.8472222222222222,2.0198,0.7917,2.8115,ok
Cricket,stl_linear,1000,1,0.0,True,7,0.9027777777777778,2.8898,0.7599,3.6497,ok
Cricket,stl_tree,1000,1,0.0,True,7,0.875,1.8784,0.7599,2.6383,ok
Cricket,stl_linear,1000,1,0.0,True,8,0.9444444444444445,2.8452,0.8612,3.7064,ok
Cricket,stl_tree,1000,1,0.0,True,8,0.888888888888889,1.8524,0.8612,2.7136,ok
Cricket,stl_linear,1000,1,0.0,True,9,0.888888888888889,2.8771,0.7878,3.6649,ok
Cricket,stl_tree,1000,1,0.0,True,9,0.8194444444444445,1.914,0.7878,2.7018,ok
