dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,10,1,0.0,True,0,0.7638888888888888,1.1838,0.0262,1.21,ok
Cricket,stl_tree,10,1,0.0,True,0,0.7916666666666666,2.394,0.0262,2.4202,ok
Cricket,stl_linear,10,1,0.0,True,1,0.6944444444444443,1.1589,0.0136,1.1725,ok
Cricket,stl_tree,10,1,0.0,True,1,0.6666666666666666,0.2103,0.0136,0.2239,ok
Cricket,stl_linear,10,1,0.0,True,2,0.8472222222222222,1.1515,0.0105,1.162,ok
Cricket,stl_tree,10,1,0.0,True,2,0.7916666666666666,0.2072,0.0105,0.2177,ok
Cricket,stl_linear,10,1,0.0,True,3,0.8194444444444445,0.9598,0.0096,0.9694,ok
Cricket,stl_tree,10,1,0.0,True,3,0.7361111111111112,0.2212,0.0096,0.2308,ok
Cricket,stl_linear,10,1,0.0,True,4,0.7916666666666665,1.3116,0.0088,1.3204,ok
Cricket,stl_tree,10,1,0.0,True,4,0.777777777777778,0.2073,0.0088,0.2161,ok
Cricket,stl_linear,10,1,0.0,True,5,0.736111111111111,1.0982,0.0103,1.1085,ok
Cricket,stl_tree,10,1,0.0,True,5,0.6944444444444443,0.2095,0.0103,0.2198,ok
Cricket,stl_linear,10,1,0.0,True,6,0.875,1.116,0.0089,1.1249,ok
Cricket,stl_tree,10,1,0.0,True,6,0.8194444444444445,0.2091,0.0089,0.218,ok
Cricket,stl_linear,10,1,0.0,True,7,0.6805555555555555,1.4348,0.0101,1.4449,ok
Cricket,stl_tree,10,1,0.0,True,7,0.513888888888889,0.2063,0.0101,0.2164,ok
Cricket,stl_linear,10,1,0.0,True,8,0.6249999999999999,1.2871,0.011,1.2981,ok
Cricket,stl_tree,10,1,0.0,True,8,0.7222222222222222,0.1925,0.011,0.2035,ok
Cricket,stl_linear,10,1,0.0,True,9,0.763888888888889,1.6383,0.0111,1.6494,ok
Cricket,stl_tree,10,1,0.0,True,9,0.638888888888889,0.2135,0.0111,0.2246,ok
