dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,100,1,0.0,True,0,0.9027777777777777,1.0216,0.1075,1.1291,ok
Cricket,stl_tree,100,1,0.0,True,0,0.875,2.5881,0.1075,2.6956,ok
Cricket,stl_linear,100,1,0.0,True,1,0.9166666666666669,1.0443,0.0942,1.1385,ok
Cricket,stl_tree,100,1,0.0,True,1,0.7499999999999999,0.3605,0.0942,0.4547,ok
Cricket,stl_linear,100,1,0.0,True,2,0.8194444444444445,1.074,0.0848,1.1588,ok
Cricket,stl_tree,100,1,0.0,True,2,0.8611111111111112,0.3437,0.0848,0.4285,ok
Cricket,stl_linear,100,1,0.0,True,3,0.9027777777777778,1.033,0.0758,1.1088,ok
Cricket,stl_tree,100,1,0.0,True,3,0.875,0.3434,0.0758,0.4192,ok
Cricket,stl_linear,100,1,0.0,True,4,0.861111111111111,1.0813,0.0896,1.1709,ok
Cricket,stl_tree,100,1,0.0,True,4,0.7361111111111112,0.3592,0.0896,0.4488,ok
Cricket,stl_linear,100,1,0.0,True,5,0.875,0.9912,0.0774,1.0686,ok
Cricket,stl_tree,100,1,0.0,True,5,0.8888888888888888,0.3522,0.0774,0.4296,ok
Cricket,stl_linear,100,1,0.0,True,6,0.8611111111111112,1.0267,0.0869,1.1136,ok
Cricket,stl_tree,100,1,0.0,True,6,0.8611111111111112,0.36,0.0869,0.4469,ok
Cricket,stl_linear,100,1,0.0,True,7,0.9166666666666669,1.0572,0.0833,1.1405,ok
Cricket,stl_tree,100,1,0.0,True,7,0.888888888888889,0.3568,0.0833,0.4401,ok
Cricket,stl_linear,100,1,0.0,True,8,0.9027777777777778,1.042,0.0749,1.1169,ok
Cricket,stl_tree,100,1,0.0,True,8,0.888888888888889,0.3706,0.0749,0.4455,ok
Cricket,stl_linear,100,1,0.0,True,9,0.9027777777777778,1.0877,0.0782,1.1659,ok
Cricket,stl_tree,100,1,0.0,True,9,0.8750000000000001,0.356,0.0782,0.4342,ok
