dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,1000,1,0.0,True,0,0.9166666666666666,2.8426,0.987,3.8296,ok
Cricket,stl_tree,1000,1,0.0,True,0,0.8333333333333334,4.0729,0.987,5.0599,ok
Cricket,stl_linear,1000,1,0.0,True,1,0.9027777777777778,2.845,0.9529,3.7979,ok
Cricket,stl_tree,1000,1,0.0,True,1,0.8888888888888892,1.8646,0.9529,2.8175,ok
Cricket,stl_linear,1000,1,0.0,True,2,0.9027777777777778,2.9131,0.8766,3.7897,ok
Cricket,stl_tree,1000,1,0.0,True,2,0.7777777777777778,1.8663,0.8766,2.7429,ok
Cricket,stl_linear,1000,1,0.0,True,3,0.9166666666666666,2.7893,0.7758,3.5651,ok
Cricket,stl_tree,1000,1,0.0,True,3,0.8472222222222223,1.8838,0.7758,2.6596,ok
Cricket,stl_linear,1000,1,0.0,True,4,0.8194444444444445,2.7895,0.8639,3.6534,ok
Cricket,stl_tree,1000,1,0.0,True,4,0.8611111111111112,1.9614,0.8639,2.8253,ok
Cricket,stl_linear,1000,1,0.0,True,5,0.8611111111111113,2.7516,0.7335,3.4851,ok
Cricket,stl_tree,1000,1,0.0,True,5,0.7638888888888888,1.9429,0.7335,2.6764,ok
Cricket,stl_linear,1000,1,0.0,True,6,0.888888888888889,2.6563,0.7827,3.439,ok
Cricket,stl_tree,1000,1,0.0,True,6,0.8472222222222222,1.914,0.7827,2.6967,ok
Cricket,stl_linear,1000,1,0.0,True,7,0.9027777777777778,3.1789,0.8756,4.0545,ok
Cricket,stl_tree,1000,1,0.0,True,7,0.875,1.8945,0.8756,2.7701,ok
Cricket,stl_linear,1000,1,0.0,True,8,0.9444444444444445,2.943,0.745,3.688,ok
Cricket,stl_tree,1000,1,0.0,True,8,0.888888888888889,1.8618,0.745,2.6068,ok
Cricket,stl_linear,1000,1,0.0,True,9,0.888888888888889,2.768,0.7941,3.5621,ok
Cricket,stl_tree,1000,1,0.0,True,9,0.8194444444444445,1.8873,0.7941,2.6814,ok
