dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,10000,1,0.0,True,0,0.9027777777777778,19.2039,10.6342,29.8381,ok
Cricket,stl_tree,10000,1,0.0,True,0,0.8333333333333331,19.4877,10.6342,30.1219,ok
Cricket,stl_linear,10000,1,0.0,True,1,0.9027777777777778,19.1602,10.6933,29.8535,ok
Cricket,stl_tree,10000,1,0.0,True,1,0.8194444444444445,16.2118,10.6933,26.9051,ok
Cricket,stl_linear,10000,1,0.0,True,2,0.9166666666666666,18.3957,9.1526,27.5483,ok
Cricket,stl_tree,10000,1,0.0,True,2,0.8472222222222222,17.3252,9.1526,26.4778,ok
Cricket,stl_linear,10000,1,0.0,True,3,0.9027777777777778,18.6585,9.0541,27.7126,ok
Cricket,stl_tree,10000,1,0.0,True,3,0.8472222222222222,15.8151,9.0541,24.8692,ok
Cricket,stl_linear,10000,1,0.0,True,4,0.875,17.692,8.9399,26.6319,ok
Cricket,stl_tree,10000,1,0.0,True,4,0.7916666666666665,16.398,8.9399,25.3379,ok
Cricket,stl_linear,10000,1,0.0,True,5,0.8888888888888888,18.1346,8.8034,26.938,ok
Cricket,stl_tree,10000,1,0.0,True,5,0.888888888888889,17.1426,8.8034,25.946,ok
Cricket,stl_linear,10000,1,0.0,True,6,0.9027777777777778,17.609,9.0245,26.6335,ok
Cricket,stl_tree,10000,1,0.0,True,6,0.8194444444444445,16.7437,9.0245,25.7682,ok
Cricket,stl_linear,10000,1,0.0,True,7,0.9027777777777778,18.7665,8.9373,27.7038,ok
Cricket,stl_tree,10000,1,0.0,True,7,0.8472222222222223,17.2184,8.9373,26.1557,ok
Cricket,stl_linear,10000,1,0.0,True,8,0.9305555555555557,18.3583,8.9606,27.3189,ok
Cricket,stl_tree,10000,1,0.0,True,8,0.8472222222222222,16.0888,8.9606,25.0494,ok
Cricket,stl_linear,10000,1,0.0,True,9,0.9027777777777778,19.546,9.1846,28.7306,ok
Cricket,stl_tree,10000,1,0.0,True,9,0.8055555555555555,16.0084,9.1846,25.193,ok
