dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,10,2,0.0,True,0,0.6666666666666666,1.5703,0.0275,1.5978,ok
Cricket,stl_tree,10,2,0.0,True,0,0.6805555555555557,2.3571,0.0275,2.3846,ok
Cricket,stl_linear,10,2,0.0,True,1,0.8055555555555555,1.6085,0.0174,1.6259,ok
Cricket,stl_tree,10,2,0.0,True,1,0.5972222222222222,0.2204,0.0174,0.2378,ok
Cricket,stl_linear,10,2,0.0,True,2,0.777777777777778,1.0779,0.0128,1.0907,ok
Cricket,stl_tree,10,2,0.0,True,2,0.75,0.2192,0.0128,0.232,ok
Cricket,stl_linear,10,2,0.0,True,3,0.8333333333333334,1.181,0.0112,1.1922,ok
Cricket,stl_tree,10,2,0.0,True,3,0.763888888888889,0.2134,0.0112,0.2246,ok
Cricket,stl_linear,10,2,0.0,True,4,0.8611111111111113,0.9313,0.0134,0.9447,ok
Cricket,stl_tree,10,2,0.0,True,4,0.6805555555555555,0.2154,0.0134,0.2288,ok
Cricket,stl_linear,10,2,0.0,True,5,0.7916666666666666,1.1551,0.013,1.1681,ok
Cricket,stl_tree,10,2,0.0,True,5,0.7222222222222223,0.2096,0.013,0.2226,ok
Cricket,stl_linear,10,2,0.0,True,6,0.8055555555555555,1.1783,0.0112,1.1895,ok
Cricket,stl_tree,10,2,0.0,True,6,0.736111111111111,0.2114,0.0112,0.2226,ok
Cricket,stl_linear,10,2,0.0,True,7,0.7222222222222223,1.3313,0.0125,1.3438,ok
Cricket,stl_tree,10,2,0.0,True,7,0.7222222222222223,0.1984,0.0125,0.2109,ok
Cricket,stl_linear,10,2,0.0,True,8,0.888888888888889,0.9913,0.0111,1.0024,ok
Cricket,stl_tree,10,2,0.0,True,8,0.7638888888888888,0.2097,0.0111,0.2208,ok
Cricket,stl_linear,10,2,0.0,True,9,0.7361111111111112,1.6478,0.0169,1.6647,ok
Cricket,stl_tree,10,2,0.0,True,9,0.5555555555555556,0.2511,0.0169,0.268,ok
