dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,100,2,0.0,True,0,0.9305555555555555,1.084,0.1187,1.2027,ok
Cricket,stl_tree,100,2,0.0,True,0,0.8194444444444445,2.5657,0.1187,2.6844,ok
Cricket,stl_linear,100,2,0.0,True,1,0.9444444444444445,1.0363,0.1218,1.1581,ok
Cricket,stl_tree,100,2,0.0,True,1,0.7916666666666666,0.3923,0.1218,0.5141,ok
Cricket,stl_linear,100,2,0.0,True,2,0.9305555555555557,1.0045,0.1148,1.1193,ok
Cricket,stl_tree,100,2,0.0,True,2,0.8194444444444445,0.3571,0.1148,0.4719,ok
Cricket,stl_linear,100,2,0.0,True,3,0.888888888888889,1.0497,0.1141,1.1638,ok
Cricket,stl_tree,100,2,0.0,True,3,0.8472222222222222,0.3742,0.1141,0.4883,ok
Cricket,stl_linear,100,2,0.0,True,4,0.8888888888888888,1.1159,0.1151,1.231,ok
Cricket,stl_tree,100,2,0.0,True,4,0.9027777777777778,0.373,0.1151,0.4881,ok
Cricket,stl_linear,100,2,0.0,True,5,0.9166666666666666,1.1104,0.1027,1.2131,ok
Cricket,stl_tree,100,2,0.0,True,5,0.8194444444444445,0.3886,0.1027,0.4913,ok
Cricket,stl_linear,100,2,0.0,True,6,0.9027777777777778,1.1254,0.1117,1.2371,ok
Cricket,stl_tree,100,2,0.0,True,6,0.777777777777778,0.4118,0.1117,0.5235,ok
Cricket,stl_linear,100,2,0.0,True,7,0.9166666666666669,1.1245,0.1076,1.2321,ok
Cricket,stl_tree,100,2,0.0,True,7,0.8333333333333335,0.3711,0.1076,0.4787,ok
Cricket,stl_linear,100,2,0.0,True,8,0.9166666666666666,1.1487,0.0953,1.244,ok
Cricket,stl_tree,100,2,0.0,True,8,0.8888888888888892,0.3568,0.0953,0.4521,ok
Cricket,stl_linear,100,2,0.0,True,9,0.8472222222222222,1.0896,0.1391,1.2287,ok
Cricket,stl_tree,100,2,0.0,True,9,0.8888888888888888,0.3525,0.1391,0.4916,ok
