dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,1000,2,0.0,True,0,0.8611111111111112,2.63,1.2322,3.8622,ok
Cricket,stl_tree,1000,2,0.0,True,0,0.8333333333333331,4.2349,1.2322,5.4671,ok
Cricket,stl_linear,1000,2,0.0,True,1,0.9583333333333334,2.6153,1.0204,3.6357,ok
Cricket,stl_tree,1000,2,0.0,True,1,0.8194444444444443,1.924,1.0204,2.9444,ok
Cricket,stl_linear,1000,2,0.0,True,2,0.9166666666666666,2.6075,0.9818,3.5893,ok
Cricket,stl_tree,1000,2,0.0,True,2,0.8750000000000001,1.8707,0.9818,2.8525,ok
Cricket,stl_linear,1000,2,0.0,True,3,0.8888888888888888,2.6489,1.01,3.6589,ok
Cricket,stl_tree,1000,2,0.0,True,3,0.8055555555555557,1.9004,1.01,2.9104,ok
Cricket,stl_linear,1000,2,0.0,True,4,0.9166666666666666,2.5302,0.9163,3.4465,ok
Cricket,stl_tree,1000,2,0.0,True,4,0.888888888888889,1.8463,0.9163,2.7626,ok
Cricket,stl_linear,1000,2,0.0,True,5,0.9027777777777778,2.7886,1.2217,4.0103,ok
Cricket,stl_tree,1000,2,0.0,True,5,0.8055555555555555,1.9566,1.2217,3.1783,ok
Cricket,stl_linear,1000,2,0.0,True,6,0.9166666666666666,2.7725,1.0135,3.786,ok
Cricket,stl_tree,1000,2,0.0,True,6,0.75,1.9413,1.0135,2.9548,ok
Cricket,stl_linear,1000,2,0.0,True,7,0.9305555555555555,2.986,1.1183,4.1043,ok
Cricket,stl_tree,1000,2,0.0,True,7,0.8055555555555555,1.795,1.1183,2.9133,ok
Cricket,stl_linear,1000,2,0.0,True,8,0.888888888888889,2.4566,1.2133,3.6699,ok
Cricket,stl_tree,1000,2,0.0,True,8,0.8333333333333335,1.9037,1.2133,3.117,ok
Cricket,stl_linear,1000,2,0.0,True,9,0.9166666666666669,2.7363,0.9997,3.736,ok
Cricket,stl_tree,1000,2,0.0,True,9,0.8472222222222222,1.9394,0.9997,2.9391,ok
