dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,10000,2,0.0,True,0,0.9305555555555557,12.2926,11.8519,24.1445,ok
Cricket,stl_tree,10000,2,0.0,True,0,0.8750000000000001,19.7579,11.8519,31.6098,ok
Cricket,stl_linear,10000,2,0.0,True,1,0.9444444444444445,12.2331,12.6005,24.8336,ok
Cricket,stl_tree,10000,2,0.0,True,1,0.875,16.6691,12.6005,29.2696,ok
Cricket,stl_linear,10000,2,0.0,True,2,0.9166666666666666,12.189,10.89,23.079,ok
Cricket,stl_tree,10000,2,0.0,True,2,0.8333333333333334,17.3824,10.89,28.2724,ok
Cricket,stl_linear,10000,2,0.0,True,3,0.9583333333333334,12.227,10.48,22.707,ok
Cricket,stl_tree,10000,2,0.0,True,3,0.8472222222222223,17.2968,10.48,27.7768,ok
Cricket,stl_linear,10000,2,0.0,True,4,0.9305555555555557,11.5944,10.6313,22.2257,ok
Cricket,stl_tree,10000,2,0.0,True,4,0.8055555555555557,15.8847,10.6313,26.516,ok
Cricket,stl_linear,10000,2,0.0,True,5,0.9166666666666669,11.8107,10.6154,22.4261,ok
Cricket,stl_tree,10000,2,0.0,True,5,0.7500000000000001,16.9018,10.6154,27.5172,ok
Cricket,stl_linear,10000,2,0.0,True,6,0.9027777777777778,12.2429,10.8246,23.0675,ok
Cricket,stl_tree,10000,2,0.0,True,6,0.9027777777777778,15.9056,10.8246,26.7302,ok
Cricket,stl_linear,10000,2,0.0,True,7,0.9444444444444445,11.9388,10.8016,22.7404,ok
Cricket,stl_tree,10000,2,0.0,True,7,0.8611111111111112,16.8301,10.8016,27.6317,ok
Cricket,stl_linear,10000,2,0.0,True,8,0.9166666666666666,12.7555,10.3902,23.1457,ok
Cricket,stl_tree,10000,2,0.0,True,8,0.8055555555555555,16.8757,10.3902,27.2659,ok
Cricket,stl_linear,10000,2,0.0,True,9,0.9305555555555557,12.336,11.0186,23.3546,ok
Cricket,stl_tree,10000,2,0.0,True,9,0.8194444444444445,16.4471,11.0186,27.4657,ok
