dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,1000,3,0.0,True,0,0.9166666666666666,2.4615,1.3155,3.777,ok
Cricket,stl_tree,1000,3,0.0,True,0,0.875,4.2423,1.3155,5.5578,ok
Cricket,stl_linear,1000,3,0.0,True,1,0.9027777777777778,2.6129,1.2995,3.9124,ok
Cricket,stl_tree,1000,3,0.0,True,1,0.8472222222222223,1.9211,1.2995,3.2206,ok
Cricket,stl_linear,1000,3,0.0,True,2,0.9166666666666669,2.7692,1.2185,3.9877,ok
Cricket,stl_tree,1000,3,0.0,True,2,0.888888888888889,1.9434,1.2185,3.1619,ok
Cricket,stl_linear,1000,3,0.0,True,3,0.9027777777777778,2.6874,1.277,3.9644,ok
Cricket,stl_tree,1000,3,0.0,True,3,0.7638888888888888,1.982,1.277,3.259,ok
Cricket,stl_linear,1000,3,0.0,True,4,0.9305555555555557,2.5545,1.2267,3.7812,ok
Cricket,stl_tree,1000,3,0.0,True,4,0.8194444444444445,1.8395,1.2267,3.0662,ok
Cricket,stl_linear,1000,3,0.0,True,5,0.8611111111111112,2.521,1.1451,3.6661,ok
Cricket,stl_tree,1000,3,0.0,True,5,0.7777777777777778,1.9516,1.1451,3.0967,ok
Cricket,stl_linear,1000,3,0.0,True,6,0.9027777777777777,2.7291,1.165,3.8941,ok
Cricket,stl_tree,1000,3,0.0,True,6,0.8611111111111112,1.8941,1.165,3.0591,ok
Cricket,stl_linear,1000,3,0.0,True,7,0.9166666666666666,2.4523,1.1445,3.5968,ok
Cricket,stl_tree,1000,3,0.0,True,7,0.8194444444444445,1.9555,1.1445,3.1,ok
Cricket,stl_linear,1000,3,0.0,True,8,0.9166666666666666,2.7447,1.1949,3.9396,ok
Cricket,stl_tree,1000,3,0.0,True,8,0.875,1.9335,1.1949,3.1284,ok
Cricket,stl_linear,1000,3,0.0,True,9,0.9027777777777778,2.3666,1.203,3.5696,ok
Cricket,stl_tree,1000,3,0.0,True,9,0.8333333333333334,2.0094,1.203,3.2124,ok
