dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,10000,3,0.0,True,0,0.9027777777777778,11.0516,14.1033,25.1549,ok
Cricket,stl_tree,10000,3,0.0,True,0,0.8333333333333335,19.7768,14.1033,33.8801,ok
Cricket,stl_linear,10000,3,0.0,True,1,0.9583333333333334,11.3975,13.8483,25.2458,ok
Cricket,stl_tree,10000,3,0.0,True,1,0.8055555555555555,16.6757,13.8483,30.524,ok
Cricket,stl_linear,10000,3,0.0,True,2,0.9583333333333334,10.0236,13.123,23.1466,ok
Cricket,stl_tree,10000,3,0.0,True,2,0.8333333333333334,16.5685,13.123,29.6915,ok
Cricket,stl_linear,10000,3,0.0,True,3,0.9444444444444445,11.3198,12.9755,24.2953,ok
Cricket,stl_tree,10000,3,0.0,True,3,0.7777777777777778,17.5983,12.9755,30.5738,ok
Cricket,stl_linear,10000,3,0.0,True,4,0.9444444444444445,14.4147,12.7809,27.1956,ok
Cricket,stl_tree,10000,3,0.0,True,4,0.75,16.6343,12.7809,29.4152,ok
Cricket,stl_linear,10000,3,0.0,True,5,0.9583333333333334,12.883,13.9386,26.8216,ok
Cricket,stl_tree,10000,3,0.0,True,5,0.8611111111111112,17.5427,13.9386,31.4813,ok
Cricket,stl_linear,10000,3,0.0,True,6,0.9166666666666669,13.3979,13.8612,27.2591,ok
Cricket,stl_tree,10000,3,0.0,True,6,0.8194444444444443,17.4375,13.8612,31.2987,ok
Cricket,stl_linear,10000,3,0.0,True,7,0.9583333333333334,11.7171,13.1237,24.8408,ok
Cricket,stl_tree,10000,3,0.0,True,7,0.8472222222222223,16.6021,13.1237,29.7258,ok
Cricket,stl_linear,10000,3,0.0,True,8,0.9305555555555557,12.8586,14.778,27.6366,ok
Cricket,stl_tree,10000,3,0.0,True,8,0.888888888888889,17.1164,14.778,31.8944,ok
Cricket,stl_linear,10000,3,0.0,True,9,0.9583333333333334,12.3761,15.3219,27.698,ok
Cricket,stl_tree,10000,3,0.0,True,9,0.8055555555555557,17.2232,15.3219,32.5451,ok
