dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,10,1,1.0,True,0,0.7777777777777778,0.9358,6.4161,7.3519,ok
Cricket,stl_tree,10,1,1.0,True,0,0.75,2.5134,6.4161,8.9295,ok
Cricket,stl_linear,10,1,1.0,True,1,0.6944444444444445,1.0644,3.0756,4.14,ok
Cricket,stl_tree,10,1,1.0,True,1,0.638888888888889,0.2192,3.0756,3.2948,ok
Cricket,stl_linear,10,1,1.0,True,2,0.7777777777777778,0.996,6.133,7.129,ok
Cricket,stl_tree,10,1,1.0,True,2,0.7222222222222222,0.2454,6.133,6.3784,ok
Cricket,stl_linear,10,1,1.0,True,3,0.6527777777777778,1.0431,0.1011,1.1442,ok
Cricket,stl_tree,10,1,1.0,True,3,0.75,0.2131,0.1011,0.3142,ok
Cricket,stl_linear,10,1,1.0,True,4,0.75,0.9416,0.9085,1.8501,ok
Cricket,stl_tree,10,1,1.0,True,4,0.763888888888889,0.2204,0.9085,1.1289,ok
Cricket,stl_linear,10,1,1.0,True,5,0.75,1.2031,0.3403,1.5434,ok
Cricket,stl_tree,10,1,1.0,True,5,0.7777777777777778,0.2334,0.3403,0.5737,ok
Cricket,stl_linear,10,1,1.0,True,6,0.888888888888889,1.0401,2.986,4.0261,ok
Cricket,stl_tree,10,1,1.0,True,6,0.8055555555555557,0.219,2.986,3.205,ok
Cricket,stl_linear,10,1,1.0,True,7,0.8749999999999999,1.0592,0.0692,1.1284,ok
Cricket,stl_tree,10,1,1.0,True,7,0.7638888888888888,0.2182,0.0692,0.2874,ok
Cricket,stl_linear,10,1,1.0,True,8,0.7916666666666666,0.9797,0.9537,1.9334,ok
Cricket,stl_tree,10,1,1.0,True,8,0.8750000000000001,0.2174,0.9537,1.1711,ok
Cricket,stl_linear,10,1,1.0,True,9,0.8194444444444445,1.1318,3.7358,4.8676,ok
Cricket,stl_tree,10,1,1.0,True,9,0.8055555555555555,0.2047,3.7358,3.9405,ok
