dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,1000,1,1.0,True,0,0.9444444444444445,3.0231,472.1288,475.1519,ok
Cricket,stl_tree,1000,1,1.0,True,0,0.8611111111111112,4.8169,472.1288,476.9457,ok
Cricket,stl_linear,1000,1,1.0,True,1,0.902777777777778,2.8886,399.2855,402.1741,ok
Cricket,stl_tree,1000,1,1.0,True,1,0.8333333333333334,5.1381,399.2855,404.4236,ok
Cricket,stl_linear,1000,1,1.0,True,2,0.9722222222222222,3.0969,409.7572,412.8541,ok
Cricket,stl_tree,1000,1,1.0,True,2,0.888888888888889,4.6172,409.7572,414.3744,ok
Cricket,stl_linear,1000,1,1.0,True,3,0.9444444444444445,3.1729,419.4847,422.6576,ok
Cricket,stl_tree,1000,1,1.0,True,3,0.75,5.2515,419.4847,424.7362,ok
Cricket,stl_linear,1000,1,1.0,True,4,0.9166666666666666,2.7035,471.6672,474.3707,ok
Cricket,stl_tree,1000,1,1.0,True,4,0.8472222222222223,4.6755,471.6672,476.3427,ok
Cricket,stl_linear,1000,1,1.0,True,5,0.9305555555555557,2.8961,473.753,476.6491,ok
Cricket,stl_tree,1000,1,1.0,True,5,0.861111111111111,4.5679,473.753,478.3209,ok
Cricket,stl_linear,1000,1,1.0,True,6,0.9583333333333334,3.1671,492.2947,495.4618,ok
Cricket,stl_tree,1000,1,1.0,True,6,0.8888888888888888,4.6314,492.2947,496.9261,ok
Cricket,stl_linear,1000,1,1.0,True,7,0.8888888888888888,3.0007,409.3917,412.3924,ok
Cricket,stl_tree,1000,1,1.0,True,7,0.902777777777778,5.2613,409.3917,414.653,ok
Cricket,stl_linear,1000,1,1.0,True,8,0.9305555555555555,2.7908,416.0426,418.8334,ok
Cricket,stl_tree,1000,1,1.0,True,8,0.8055555555555555,5.4867,416.0426,421.5293,ok
Cricket,stl_linear,1000,1,1.0,True,9,0.9166666666666666,2.7607,508.9425,511.7032,ok
Cricket,stl_tree,1000,1,1.0,True,9,0.8194444444444446,5.3289,508.9425,514.2714,ok
