dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,100,2,1.0,True,0,0.9583333333333335,1.1008,45.7903,46.8911,ok
Cricket,stl_tree,100,2,1.0,True,0,0.8888888888888888,2.7915,45.7903,48.5818,ok
Cricket,stl_linear,100,2,1.0,True,1,0.888888888888889,1.0742,61.3666,62.4408,ok
Cricket,stl_tree,100,2,1.0,True,1,0.8055555555555555,0.3951,61.3666,61.7617,ok
Cricket,stl_linear,100,2,1.0,True,2,0.9305555555555557,1.1344,46.4921,47.6265,ok
Cricket,stl_tree,100,2,1.0,True,2,0.8472222222222223,0.4134,46.4921,46.9055,ok
Cricket,stl_linear,100,2,1.0,True,3,0.9027777777777778,1.0551,52.6917,53.7468,ok
Cricket,stl_tree,100,2,1.0,True,3,0.8611111111111112,0.3708,52.6917,53.0625,ok
Cricket,stl_linear,100,2,1.0,True,4,0.8749999999999999,1.1406,35.7005,36.8411,ok
Cricket,stl_tree,100,2,1.0,True,4,0.8472222222222222,0.3725,35.7005,36.073,ok
Cricket,stl_linear,100,2,1.0,True,5,0.9027777777777778,1.1399,50.3804,51.5203,ok
Cricket,stl_tree,100,2,1.0,True,5,0.7777777777777778,0.3712,50.3804,50.7516,ok
Cricket,stl_linear,100,2,1.0,True,6,0.9305555555555555,1.1162,37.566,38.6822,ok
Cricket,stl_tree,100,2,1.0,True,6,0.7916666666666666,0.3965,37.566,37.9625,ok
Cricket,stl_linear,100,2,1.0,True,7,0.8750000000000001,1.176,34.0103,35.1863,ok
Cricket,stl_tree,100,2,1.0,True,7,0.888888888888889,0.3731,34.0103,34.3834,ok
Cricket,stl_linear,100,2,1.0,True,8,0.9166666666666666,1.0509,42.469,43.5199,ok
Cricket,stl_tree,100,2,1.0,True,8,0.8611111111111113,0.383,42.469,42.852,ok
Cricket,stl_linear,100,2,1.0,True,9,0.875,1.0644,72.6263,73.6907,ok
Cricket,stl_tree,100,2,1.0,True,9,0.875,0.3834,72.6263,73.0097,ok
