dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,1000,2,1.0,True,0,0.8888888888888888,2.878,596.5617,599.4397,ok
Cricket,stl_tree,1000,2,1.0,True,0,0.8472222222222223,5.1798,596.5617,601.7415,ok
Cricket,stl_linear,1000,2,1.0,True,1,0.8472222222222222,2.9313,504.4925,507.4238,ok
Cricket,stl_tree,1000,2,1.0,True,1,0.8472222222222223,4.4977,504.4925,508.9902,ok
Cricket,stl_linear,1000,2,1.0,True,2,0.9722222222222223,2.7709,526.9281,529.699,ok
Cricket,stl_tree,1000,2,1.0,True,2,0.763888888888889,4.4102,526.9281,531.3383,ok
Cricket,stl_linear,1000,2,1.0,True,3,0.9583333333333334,2.703,577.6922,580.3952,ok
Cricket,stl_tree,1000,2,1.0,True,3,0.8750000000000001,4.6917,577.6922,582.3839,ok
Cricket,stl_linear,1000,2,1.0,True,4,0.9166666666666669,2.8367,535.9607,538.7974,ok
Cricket,stl_tree,1000,2,1.0,True,4,0.8055555555555555,4.8525,535.9607,540.8132,ok
Cricket,stl_linear,1000,2,1.0,True,5,0.9583333333333334,2.9031,571.4759,574.379,ok
Cricket,stl_tree,1000,2,1.0,True,5,0.8750000000000001,4.8204,571.4759,576.2963,ok
Cricket,stl_linear,1000,2,1.0,True,6,0.9305555555555555,3.0826,486.1937,489.2763,ok
Cricket,stl_tree,1000,2,1.0,True,6,0.8611111111111112,5.1243,486.1937,491.318,ok
Cricket,stl_linear,1000,2,1.0,True,7,0.9722222222222223,3.1844,473.4968,476.6812,ok
Cricket,stl_tree,1000,2,1.0,True,7,0.8194444444444446,4.5638,473.4968,478.0606,ok
Cricket,stl_linear,1000,2,1.0,True,8,0.9722222222222223,2.5746,525.1192,527.6938,ok
Cricket,stl_tree,1000,2,1.0,True,8,0.8333333333333334,5.3784,525.1192,530.4976,ok
Cricket,stl_linear,1000,2,1.0,True,9,0.9305555555555557,2.91,545.0589,547.9689,ok
Cricket,stl_tree,1000,2,1.0,True,9,0.8611111111111112,4.8823,545.0589,549.9412,ok
