dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,10000,2,1.0,True,0,0.9444444444444445,13.1599,5101.4009,5114.5608,ok
Cricket,stl_tree,10000,2,1.0,True,0,0.8055555555555555,20.3739,5101.4009,5121.7748,ok
Cricket,stl_linear,10000,2,1.0,True,1,0.9722222222222223,14.0723,5109.9752,5124.0475,ok
Cricket,stl_tree,10000,2,1.0,True,1,0.875,20.8117,5109.9752,5130.7869,ok
Cricket,stl_linear,10000,2,1.0,True,2,0.9444444444444445,13.3525,5100.1041,5113.4566,ok
Cricket,stl_tree,10000,2,1.0,True,2,0.875,20.3433,5100.1041,5120.4474,ok
Cricket,stl_linear,10000,2,1.0,True,3,0.9861111111111112,10.9246,4797.3223,4808.2469,ok
Cricket,stl_tree,10000,2,1.0,True,3,0.8611111111111112,20.2477,4797.3223,4817.57,ok
Cricket,stl_linear,10000,2,1.0,True,4,0.9583333333333334,10.583,4127.3445,4137.9275,ok
Cricket,stl_tree,10000,2,1.0,True,4,0.9305555555555557,19.583,4127.3445,4146.9275,ok
Cricket,stl_linear,10000,2,1.0,True,5,0.9722222222222222,9.0547,4279.5542,4288.6089,ok
Cricket,stl_tree,10000,2,1.0,True,5,0.8611111111111113,18.6055,4279.5542,4298.1597,ok
Cricket,stl_linear,10000,2,1.0,True,6,0.9722222222222222,9.857,4198.6415,4208.4985,ok
Cricket,stl_tree,10000,2,1.0,True,6,0.8472222222222222,18.57,4198.6415,4217.2115,ok
Cricket,stl_linear,10000,2,1.0,True,7,nan,,,,skipped
Cricket,stl_tree,10000,2,1.0,True,7,nan,,,,skipped
Cricket,stl_linear,10000,2,1.0,True,8,nan,,,,skipped
Cricket,stl_tree,10000,2,1.0,True,8,nan,,,,skipped
Cricket,stl_linear,10000,2,1.0,True,9,nan,,,,skipped
Cricket,stl_tree,10000,2,1.0,True,9,nan,,,,skipped
