dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,10,3,1.0,True,0,0.7361111111111112,1.347,11.916,13.263,ok
Cricket,stl_tree,10,3,1.0,True,0,0.8055555555555557,3.1612,11.916,15.0772,ok
Cricket,stl_linear,10,3,1.0,True,1,0.8333333333333334,1.1016,12.8058,13.9074,ok
Cricket,stl_tree,10,3,1.0,True,1,0.7638888888888888,0.3138,12.8058,13.1196,ok
Cricket,stl_linear,10,3,1.0,True,2,0.8194444444444443,1.4248,4.4504,5.8752,ok
Cricket,stl_tree,10,3,1.0,True,2,0.7916666666666666,0.3249,4.4504,4.7753,ok
Cricket,stl_linear,10,3,1.0,True,3,0.8472222222222222,1.2135,5.497,6.7105,ok
Cricket,stl_tree,10,3,1.0,True,3,0.763888888888889,0.3265,5.497,5.8235,ok
Cricket,stl_linear,10,3,1.0,True,4,0.6666666666666666,1.2521,4.276,5.5281,ok
Cricket,stl_tree,10,3,1.0,True,4,0.625,0.2775,4.276,4.5535,ok
Cricket,stl_linear,10,3,1.0,True,5,0.7777777777777778,1.3989,4.5761,5.975,ok
Cricket,stl_tree,10,3,1.0,True,5,0.625,0.3112,4.5761,4.8873,ok
Cricket,stl_linear,10,3,1.0,True,6,0.8611111111111112,1.2104,5.1879,6.3983,ok
Cricket,stl_tree,10,3,1.0,True,6,0.6944444444444445,0.2935,5.1879,5.4814,ok
Cricket,stl_linear,10,3,1.0,True,7,0.8194444444444443,1.2385,4.907,6.1455,ok
Cricket,stl_tree,10,3,1.0,True,7,0.6944444444444446,0.2828,4.907,5.1898,ok
Cricket,stl_linear,10,3,1.0,True,8,0.8333333333333335,1.3138,8.1198,9.4336,ok
Cricket,stl_tree,10,3,1.0,True,8,0.763888888888889,0.2985,8.1198,8.4183,ok
Cricket,stl_linear,10,3,1.0,True,9,0.888888888888889,1.3397,4.0401,5.3798,ok
Cricket,stl_tree,10,3,1.0,True,9,0.8194444444444445,0.269,4.0401,4.3091,ok
