dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,100,3,1.0,True,0,0.9444444444444445,1.3411,84.711,86.0521,ok
Cricket,stl_tree,100,3,1.0,True,0,0.8472222222222223,3.9031,84.711,88.6141,ok
Cricket,stl_linear,100,3,1.0,True,1,0.9444444444444445,1.1631,60.0649,61.228,ok
Cricket,stl_tree,100,3,1.0,True,1,0.8333333333333334,0.4376,60.0649,60.5025,ok
Cricket,stl_linear,100,3,1.0,True,2,0.9305555555555557,1.2203,69.8527,71.073,ok
Cricket,stl_tree,100,3,1.0,True,2,0.8194444444444445,0.4643,69.8527,70.317,ok
Cricket,stl_linear,100,3,1.0,True,3,0.9305555555555557,1.1778,85.2865,86.4643,ok
Cricket,stl_tree,100,3,1.0,True,3,0.861111111111111,0.4553,85.2865,85.7418,ok
Cricket,stl_linear,100,3,1.0,True,4,0.9166666666666666,1.1892,38.0704,39.2596,ok
Cricket,stl_tree,100,3,1.0,True,4,0.8194444444444445,0.4619,38.0704,38.5323,ok
Cricket,stl_linear,100,3,1.0,True,5,0.9166666666666666,1.1242,87.5256,88.6498,ok
Cricket,stl_tree,100,3,1.0,True,5,0.8472222222222222,0.4686,87.5256,87.9942,ok
Cricket,stl_linear,100,3,1.0,True,6,0.8472222222222222,1.1409,55.2336,56.3745,ok
Cricket,stl_tree,100,3,1.0,True,6,0.8472222222222222,0.478,55.2336,55.7116,ok
Cricket,stl_linear,100,3,1.0,True,7,0.861111111111111,1.1726,50.6979,51.8705,ok
Cricket,stl_tree,100,3,1.0,True,7,0.7638888888888888,0.4695,50.6979,51.1674,ok
Cricket,stl_linear,100,3,1.0,True,8,0.9305555555555555,1.2285,59.0489,60.2774,ok
Cricket,stl_tree,100,3,1.0,True,8,0.8194444444444445,0.4178,59.0489,59.4667,ok
Cricket,stl_linear,100,3,1.0,True,9,0.8472222222222222,1.2482,69.4204,70.6686,ok
Cricket,stl_tree,100,3,1.0,True,9,0.8055555555555557,0.5233,69.4204,69.9437,ok
