dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,stl_linear,1000,3,1.0,True,0,0.9166666666666669,2.6043,650.4202,653.0245,ok
Cricket,stl_tree,1000,3,1.0,True,0,0.8333333333333334,5.08,650.4202,655.5002,ok
Cricket,stl_linear,1000,3,1.0,True,1,0.9027777777777778,2.4766,553.2754,555.752,ok
Cricket,stl_tree,1000,3,1.0,True,1,0.7916666666666666,4.9996,553.2754,558.275,ok
Cricket,stl_linear,1000,3,1.0,True,2,0.9444444444444445,2.7377,542.9201,545.6578,ok
Cricket,stl_tree,1000,3,1.0,True,2,0.8194444444444445,4.9705,542.9201,547.8906,ok
Cricket,stl_linear,1000,3,1.0,True,3,0.9444444444444445,2.6398,687.2964,689.9362,ok
Cricket,stl_tree,1000,3,1.0,True,3,0.8888888888888888,5.0778,687.2964,692.3742,ok
Cricket,stl_linear,1000,3,1.0,True,4,0.9444444444444445,2.3238,614.2581,616.5819,ok
Cricket,stl_tree,1000,3,1.0,True,4,0.7777777777777778,5.0485,614.2581,619.3066,ok
Cricket,stl_linear,1000,3,1.0,True,5,0.9444444444444445,2.611,672.16,674.771,ok
Cricket,stl_tree,1000,3,1.0,True,5,0.8333333333333335,4.4647,672.16,676.6247,ok
Cricket,stl_linear,1000,3,1.0,True,6,0.9305555555555557,2.3709,590.2949,592.6658,ok
Cricket,stl_tree,1000,3,1.0,True,6,0.763888888888889,5.1402,590.2949,595.4351,ok
Cricket,stl_linear,1000,3,1.0,True,7,0.9444444444444445,2.6763,548.6112,551.2875,ok
Cricket,stl_tree,1000,3,1.0,True,7,0.8194444444444445,4.9687,548.6112,553.5799,ok
Cricket,stl_linear,1000,3,1.0,True,8,0.9722222222222222,2.489,562.5453,565.0343,ok
Cricket,stl_tree,1000,3,1.0,True,8,0.9027777777777778,5.0778,562.5453,567.6231,ok
Cricket,stl_linear,1000,3,1.0,True,9,0.9444444444444445,2.7187,584.7846,587.5033,ok
Cricket,stl_tree,1000,3,1.0,True,9,0.75,5.0277,584.7846,589.8123,ok
