dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10,1,0.0,True,0,0.4,0.9878,0.0574,1.0452,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,0,0.33999999999999997,2.3797,0.0574,2.4371,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,1,0.3,0.7742,0.0396,0.8138,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,1,0.3,0.2036,0.0396,0.2432,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,2,0.27999999999999997,1.0789,0.0408,1.1197,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,2,0.26000000000000006,0.1892,0.0408,0.23,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,3,0.28,0.8746,0.0412,0.9158,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,3,0.33999999999999997,0.1951,0.0412,0.2363,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,4,0.34,0.7445,0.0383,0.7828,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,4,0.34,0.1879,0.0383,0.2262,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,5,0.38,1.0265,0.0388,1.0653,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,5,0.33999999999999997,0.2147,0.0388,0.2535,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,6,0.25999999999999995,0.8569,0.0392,0.8961,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,6,0.4,0.1991,0.0392,0.2383,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,7,0.28,0.8621,0.0387,0.9008,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,7,0.22000000000000003,0.1929,0.0387,0.2316,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,8,0.32,0.9833,0.039,1.0223,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,8,0.27999999999999997,0.2001,0.039,0.2391,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,9,0.4,1.0555,0.0398,1.0953,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,9,0.30000000000000004,0.1958,0.0398,0.2356,ok
