dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,100,1,0.0,True,0,0.36,0.8321,1.3809,2.213,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,0,0.44000000000000006,2.5408,1.3809,3.9217,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,1,0.36,0.8193,0.6778,1.4971,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,1,0.44000000000000006,0.279,0.6778,0.9568,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,2,0.32,0.8152,0.0732,0.8884,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,2,0.42000000000000004,0.2787,0.0732,0.3519,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,3,0.42000000000000004,0.8086,0.1444,0.953,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,3,0.32,0.2816,0.1444,0.426,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,4,0.42000000000000004,0.827,0.0741,0.9011,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,4,0.4600000000000001,0.2819,0.0741,0.356,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,5,0.48,0.8182,0.0731,0.8913,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,5,0.5199999999999999,0.2619,0.0731,0.335,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,6,0.30000000000000004,0.7946,0.0711,0.8657,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,6,0.4,0.3054,0.0711,0.3765,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,7,0.5599999999999999,0.8394,0.0756,0.915,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,7,0.38,0.3154,0.0756,0.391,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,8,0.44000000000000006,0.8209,0.1173,0.9382,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,8,0.44000000000000006,0.2734,0.1173,0.3907,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,9,0.5,0.812,1.7838,2.5958,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,9,0.38,0.2469,1.7838,2.0307,ok
