dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,1000,1,0.0,True,0,0.36,0.9384,0.4161,1.3545,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,0,0.33999999999999997,3.0094,0.4161,3.4255,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,1,0.52,1.1984,0.4366,1.635,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,1,0.45999999999999996,0.709,0.4366,1.1456,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,2,0.4,1.078,0.4243,1.5023,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,2,0.44000000000000006,0.7288,0.4243,1.1531,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,3,0.6,1.032,0.4356,1.4676,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,3,0.5,0.7261,0.4356,1.1617,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,4,0.47999999999999987,1.0582,0.4237,1.4819,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,4,0.43999999999999995,0.7233,0.4237,1.147,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,5,0.54,1.054,0.4216,1.4756,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,5,0.58,0.7129,0.4216,1.1345,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,6,0.54,1.0863,0.4064,1.4927,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,6,0.5,0.7293,0.4064,1.1357,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,7,0.5599999999999999,1.1703,0.4126,1.5829,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,7,0.38,0.7337,0.4126,1.1463,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,8,0.5199999999999999,0.9819,0.4211,1.403,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,8,0.4800000000000001,0.7249,0.4211,1.146,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,9,0.5800000000000001,1.002,0.4342,1.4362,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,9,0.43999999999999995,0.7149,0.4342,1.1491,ok
