dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10,1,0.0,True,0,0.4,0.9466,0.0569,1.0035,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,0,0.33999999999999997,2.3864,0.0569,2.4433,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,1,0.3,0.7925,0.04,0.8325,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,1,0.3,0.1945,0.04,0.2345,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,2,0.27999999999999997,1.0775,0.0387,1.1162,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,2,0.26000000000000006,0.1818,0.0387,0.2205,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,3,0.28,0.853,0.0384,0.8914,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,3,0.33999999999999997,0.1858,0.0384,0.2242,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,4,0.34,0.7213,0.0387,0.76,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,4,0.34,0.2045,0.0387,0.2432,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,5,0.38,0.9885,0.0388,1.0273,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,5,0.33999999999999997,0.2103,0.0388,0.2491,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,6,0.25999999999999995,0.8594,0.0389,0.8983,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,6,0.4,0.1949,0.0389,0.2338,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,7,0.28,0.8333,0.0383,0.8716,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,7,0.22000000000000003,0.1961,0.0383,0.2344,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,8,0.32,1.013,0.0395,1.0525,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,8,0.27999999999999997,0.1924,0.0395,0.2319,ok
DuckDuckGeese,stl_linear,10,1,0.0,True,9,0.4,1.0346,0.0402,1.0748,ok
DuckDuckGeese,stl_tree,10,1,0.0,True,9,0.30000000000000004,0.1827,0.0402,0.2229,ok
