dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,100,1,0.0,True,0,0.36,0.7849,0.0904,0.8753,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,0,0.44000000000000006,2.4725,0.0904,2.5629,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,1,0.36,0.8086,0.0759,0.8845,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,1,0.44000000000000006,0.2384,0.0759,0.3143,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,2,0.32,0.7883,0.0722,0.8605,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,2,0.42000000000000004,0.2297,0.0722,0.3019,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,3,0.42000000000000004,0.7225,0.0702,0.7927,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,3,0.32,0.2394,0.0702,0.3096,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,4,0.42000000000000004,0.8213,0.0698,0.8911,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,4,0.4600000000000001,0.2579,0.0698,0.3277,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,5,0.48,0.7761,0.0705,0.8466,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,5,0.5199999999999999,0.2317,0.0705,0.3022,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,6,0.30000000000000004,0.7744,0.0701,0.8445,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,6,0.4,0.2394,0.0701,0.3095,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,7,0.5599999999999999,0.8023,0.071,0.8733,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,7,0.38,0.2345,0.071,0.3055,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,8,0.44000000000000006,0.7939,0.0709,0.8648,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,8,0.44000000000000006,0.2355,0.0709,0.3064,ok
DuckDuckGeese,stl_linear,100,1,0.0,True,9,0.5,0.7863,0.072,0.8583,ok
DuckDuckGeese,stl_tree,100,1,0.0,True,9,0.38,0.2328,0.072,0.3048,ok
