dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,1000,1,0.0,True,0,0.36,0.9427,1.2463,2.189,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,0,0.33999999999999997,2.9722,1.2463,4.2185,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,1,0.52,1.0676,0.4432,1.5108,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,1,0.45999999999999996,0.7161,0.4432,1.1593,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,2,0.4,0.9771,0.4848,1.4619,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,2,0.44000000000000006,0.6977,0.4848,1.1825,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,3,0.6,0.9732,0.4179,1.3911,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,3,0.5,0.7437,0.4179,1.1616,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,4,0.47999999999999987,0.8754,0.4146,1.29,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,4,0.43999999999999995,0.7161,0.4146,1.1307,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,5,0.54,1.2443,0.6512,1.8955,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,5,0.58,0.7829,0.6512,1.4341,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,6,0.54,0.9315,0.4236,1.3551,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,6,0.5,0.7272,0.4236,1.1508,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,7,0.5599999999999999,1.0824,0.4131,1.4955,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,7,0.38,0.6945,0.4131,1.1076,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,8,0.5199999999999999,0.895,0.3891,1.2841,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,8,0.4800000000000001,0.7048,0.3891,1.0939,ok
DuckDuckGeese,stl_linear,1000,1,0.0,True,9,0.5800000000000001,0.9366,0.3992,1.3358,ok
DuckDuckGeese,stl_tree,1000,1,0.0,True,9,0.43999999999999995,0.6955,0.3992,1.0947,ok
