dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10000,1,0.0,True,0,0.5399999999999999,2.2471,4.3619,6.609,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,0,0.45999999999999996,7.143,4.3619,11.5049,ok
DuckDuckGeese,stl_linear,10000,1,0.0,True,1,0.66,2.2002,7.9159,10.1161,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,1,0.4800000000000001,4.4691,7.9159,12.385,ok
DuckDuckGeese,stl_linear,10000,1,0.0,True,2,0.5800000000000001,2.1029,4.4136,6.5165,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,2,0.38,4.6513,4.4136,9.0649,ok
DuckDuckGeese,stl_linear,10000,1,0.0,True,3,0.58,2.1081,13.1644,15.2725,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,3,0.42000000000000004,4.6719,13.1644,17.8363,ok
DuckDuckGeese,stl_linear,10000,1,0.0,True,4,0.5999999999999999,1.9626,4.9336,6.8962,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,4,0.42000000000000004,4.8181,4.9336,9.7517,ok
DuckDuckGeese,stl_linear,10000,1,0.0,True,5,0.43999999999999995,2.168,4.9377,7.1057,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,5,0.4,4.6333,4.9377,9.571,ok
DuckDuckGeese,stl_linear,10000,1,0.0,True,6,0.52,1.9005,4.1724,6.0729,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,6,0.39999999999999997,4.5726,4.1724,8.745,ok
DuckDuckGeese,stl_linear,10000,1,0.0,True,7,0.43999999999999995,2.0421,3.9727,6.0148,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,7,0.54,4.5185,3.9727,8.4912,ok
DuckDuckGeese,stl_linear,10000,1,0.0,True,8,0.30000000000000004,2.0788,5.4379,7.5167,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,8,0.45999999999999996,4.6408,5.4379,10.0787,ok
DuckDuckGeese,stl_linear,10000,1,0.0,True,9,0.6000000000000001,2.0579,3.9744,6.0323,ok
DuckDuckGeese,stl_tree,10000,1,0.0,True,9,0.44000000000000006,4.4182,3.9744,8.3926,ok
