dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10,2,0.0,True,0,0.32,0.9826,0.0582,1.0408,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,0,0.38,2.4654,0.0582,2.5236,ok
DuckDuckGeese,stl_linear,10,2,0.0,True,1,0.3,1.0219,0.0408,1.0627,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,1,0.38,0.2124,0.0408,0.2532,ok
DuckDuckGeese,stl_linear,10,2,0.0,True,2,0.21999999999999997,0.7892,0.0412,0.8304,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,2,0.24,0.1913,0.0412,0.2325,ok
DuckDuckGeese,stl_linear,10,2,0.0,True,3,0.34,0.9634,0.0393,1.0027,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,3,0.33999999999999997,0.1891,0.0393,0.2284,ok
DuckDuckGeese,stl_linear,10,2,0.0,True,4,0.34,0.9065,0.0402,0.9467,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,4,0.32,0.2087,0.0402,0.2489,ok
DuckDuckGeese,stl_linear,10,2,0.0,True,5,0.27999999999999997,1.0462,0.0403,1.0865,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,5,0.25999999999999995,0.2114,0.0403,0.2517,ok
DuckDuckGeese,stl_linear,10,2,0.0,True,6,0.44000000000000006,0.838,0.0402,0.8782,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,6,0.42000000000000004,0.2122,0.0402,0.2524,ok
DuckDuckGeese,stl_linear,10,2,0.0,True,7,0.34,1.0226,0.0402,1.0628,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,7,0.3,0.2038,0.0402,0.244,ok
DuckDuckGeese,stl_linear,10,2,0.0,True,8,0.26,0.8362,0.0395,0.8757,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,8,0.38,0.2082,0.0395,0.2477,ok
DuckDuckGeese,stl_linear,10,2,0.0,True,9,0.3,0.9144,0.0415,0.9559,ok
DuckDuckGeese,stl_tree,10,2,0.0,True,9,0.25999999999999995,0.1856,0.0415,0.2271,ok
