dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,100,2,0.0,True,0,0.33999999999999997,0.7652,0.0961,0.8613,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,0,0.42000000000000004,2.4244,0.0961,2.5205,ok
DuckDuckGeese,stl_linear,100,2,0.0,True,1,0.5599999999999999,0.7501,0.0841,0.8342,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,1,0.48,0.233,0.0841,0.3171,ok
DuckDuckGeese,stl_linear,100,2,0.0,True,2,0.41999999999999993,0.7729,0.0808,0.8537,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,2,0.44000000000000006,0.2377,0.0808,0.3185,ok
DuckDuckGeese,stl_linear,100,2,0.0,True,3,0.5599999999999999,0.7889,0.0815,0.8704,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,3,0.4,0.223,0.0815,0.3045,ok
DuckDuckGeese,stl_linear,100,2,0.0,True,4,0.48,0.7387,0.083,0.8217,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,4,0.38,0.2756,0.083,0.3586,ok
DuckDuckGeese,stl_linear,100,2,0.0,True,5,0.32,0.7789,0.0785,0.8574,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,5,0.41999999999999993,0.2322,0.0785,0.3107,ok
DuckDuckGeese,stl_linear,100,2,0.0,True,6,0.5199999999999999,0.8869,0.08,0.9669,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,6,0.4999999999999999,0.2574,0.08,0.3374,ok
DuckDuckGeese,stl_linear,100,2,0.0,True,7,0.4,0.939,0.093,1.032,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,7,0.44000000000000006,0.2731,0.093,0.3661,ok
DuckDuckGeese,stl_linear,100,2,0.0,True,8,0.5399999999999999,0.9341,0.0853,1.0194,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,8,0.42000000000000004,0.2678,0.0853,0.3531,ok
DuckDuckGeese,stl_linear,100,2,0.0,True,9,0.30000000000000004,0.8573,0.0845,0.9418,ok
DuckDuckGeese,stl_tree,100,2,0.0,True,9,0.33999999999999997,0.2632,0.0845,0.3477,ok
