dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10,3,0.0,True,0,0.36,0.9303,0.0978,1.0281,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,0,0.31999999999999995,2.5616,0.0978,2.6594,ok
DuckDuckGeese,stl_linear,10,3,0.0,True,1,0.32,0.7012,0.2648,0.966,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,1,0.28,0.222,0.2648,0.4868,ok
DuckDuckGeese,stl_linear,10,3,0.0,True,2,0.24,0.7389,0.1305,0.8694,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,2,0.3,0.2271,0.1305,0.3576,ok
DuckDuckGeese,stl_linear,10,3,0.0,True,3,0.38,0.7923,0.0652,0.8575,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,3,0.38,0.2501,0.0652,0.3153,ok
DuckDuckGeese,stl_linear,10,3,0.0,True,4,0.3,0.82,0.1472,0.9672,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,4,0.2,0.2218,0.1472,0.369,ok
DuckDuckGeese,stl_linear,10,3,0.0,True,5,0.24,0.8163,0.2444,1.0607,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,5,0.24,0.2118,0.2444,0.4562,ok
DuckDuckGeese,stl_linear,10,3,0.0,True,6,0.44000000000000006,1.0752,0.1762,1.2514,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,6,0.32,0.2059,0.1762,0.3821,ok
DuckDuckGeese,stl_linear,10,3,0.0,True,7,0.34,0.8344,0.0488,0.8832,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,7,0.4,0.207,0.0488,0.2558,ok
DuckDuckGeese,stl_linear,10,3,0.0,True,8,0.3,0.8759,0.0545,0.9304,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,8,0.21999999999999997,0.2616,0.0545,0.3161,ok
DuckDuckGeese,stl_linear,10,3,0.0,True,9,0.32,0.9068,0.0563,0.9631,ok
DuckDuckGeese,stl_tree,10,3,0.0,True,9,0.27999999999999997,0.2218,0.0563,0.2781,ok
