dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,100,3,0.0,True,0,0.42000000000000004,0.787,0.1096,0.8966,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,0,0.44000000000000006,2.4832,0.1096,2.5928,ok
DuckDuckGeese,stl_linear,100,3,0.0,True,1,0.2,0.8862,0.0905,0.9767,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,1,0.4,0.2779,0.0905,0.3684,ok
DuckDuckGeese,stl_linear,100,3,0.0,True,2,0.32,0.762,0.0871,0.8491,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,2,0.33999999999999997,0.2308,0.0871,0.3179,ok
DuckDuckGeese,stl_linear,100,3,0.0,True,3,0.4,0.7649,0.0905,0.8554,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,3,0.4800000000000001,0.2365,0.0905,0.327,ok
DuckDuckGeese,stl_linear,100,3,0.0,True,4,0.43999999999999995,0.7546,0.0878,0.8424,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,4,0.4,0.2512,0.0878,0.339,ok
DuckDuckGeese,stl_linear,100,3,0.0,True,5,0.3,0.8346,0.0898,0.9244,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,5,0.3,0.2359,0.0898,0.3257,ok
DuckDuckGeese,stl_linear,100,3,0.0,True,6,0.38,0.8018,0.0901,0.8919,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,6,0.32,0.2335,0.0901,0.3236,ok
DuckDuckGeese,stl_linear,100,3,0.0,True,7,0.44000000000000006,0.832,0.0926,0.9246,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,7,0.48,0.2675,0.0926,0.3601,ok
DuckDuckGeese,stl_linear,100,3,0.0,True,8,0.42000000000000004,0.8972,0.0931,0.9903,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,8,0.45999999999999996,0.238,0.0931,0.3311,ok
DuckDuckGeese,stl_linear,100,3,0.0,True,9,0.4,0.803,0.0882,0.8912,ok
DuckDuckGeese,stl_tree,100,3,0.0,True,9,0.25999999999999995,0.2378,0.0882,0.326,ok
