dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,1000,3,0.0,True,0,0.5799999999999998,0.943,0.586,1.529,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,0,0.4600000000000001,2.8699,0.586,3.4559,ok
DuckDuckGeese,stl_linear,1000,3,0.0,True,1,0.33999999999999997,0.9635,0.5979,1.5614,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,1,0.45999999999999996,0.7064,0.5979,1.3043,ok
DuckDuckGeese,stl_linear,1000,3,0.0,True,2,0.48,0.8247,0.5665,1.3912,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,2,0.42000000000000004,0.6854,0.5665,1.2519,ok
DuckDuckGeese,stl_linear,1000,3,0.0,True,3,0.38,0.8654,0.56,1.4254,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,3,0.42000000000000004,0.688,0.56,1.248,ok
DuckDuckGeese,stl_linear,1000,3,0.0,True,4,0.5800000000000001,0.8868,0.5622,1.449,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,4,0.45999999999999996,0.685,0.5622,1.2472,ok
DuckDuckGeese,stl_linear,1000,3,0.0,True,5,0.48,0.973,0.6104,1.5834,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,5,0.44000000000000006,0.7288,0.6104,1.3392,ok
DuckDuckGeese,stl_linear,1000,3,0.0,True,6,0.48,1.0676,0.6463,1.7139,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,6,0.5,0.6978,0.6463,1.3441,ok
DuckDuckGeese,stl_linear,1000,3,0.0,True,7,0.38,1.1205,0.58,1.7005,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,7,0.52,0.7153,0.58,1.2953,ok
DuckDuckGeese,stl_linear,1000,3,0.0,True,8,0.48,0.8419,0.5833,1.4252,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,8,0.48,0.7121,0.5833,1.2954,ok
DuckDuckGeese,stl_linear,1000,3,0.0,True,9,0.48,0.8304,0.5603,1.3907,ok
DuckDuckGeese,stl_tree,1000,3,0.0,True,9,0.45999999999999996,0.6907,0.5603,1.251,ok
