dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,100,1,1.0,True,0,0.13999999999999999,0.8904,7.0406,7.931,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,0,0.42000000000000004,2.7812,7.0406,9.8218,ok
DuckDuckGeese,stl_linear,100,1,1.0,True,1,0.4,1.0314,1.4771,2.5085,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,1,0.44000000000000006,0.3106,1.4771,1.7877,ok
DuckDuckGeese,stl_linear,100,1,1.0,True,2,0.48,1.0244,1.742,2.7664,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,2,0.4600000000000001,0.2845,1.742,2.0265,ok
DuckDuckGeese,stl_linear,100,1,1.0,True,3,0.42000000000000004,0.9087,2.063,2.9717,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,3,0.4,0.2682,2.063,2.3312,ok
DuckDuckGeese,stl_linear,100,1,1.0,True,4,0.48,0.8492,2.392,3.2412,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,4,0.4,0.4113,2.392,2.8033,ok
DuckDuckGeese,stl_linear,100,1,1.0,True,5,0.32,0.8805,1.4057,2.2862,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,5,0.38,0.3419,1.4057,1.7476,ok
DuckDuckGeese,stl_linear,100,1,1.0,True,6,0.2,0.8835,1.3873,2.2708,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,6,0.44000000000000006,0.2856,1.3873,1.6729,ok
DuckDuckGeese,stl_linear,100,1,1.0,True,7,0.5399999999999999,0.842,0.8087,1.6507,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,7,0.26,0.3075,0.8087,1.1162,ok
DuckDuckGeese,stl_linear,100,1,1.0,True,8,0.4800000000000001,0.9272,1.2579,2.1851,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,8,0.44000000000000006,0.3104,1.2579,1.5683,ok
DuckDuckGeese,stl_linear,100,1,1.0,True,9,0.45999999999999996,0.8178,1.3064,2.1242,ok
DuckDuckGeese,stl_tree,100,1,1.0,True,9,0.43999999999999995,0.2793,1.3064,1.5857,ok
