dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,1000,1,1.0,True,0,0.6599999999999999,0.9014,15.9811,16.8825,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,0,0.45999999999999996,3.3076,15.9811,19.2887,ok
DuckDuckGeese,stl_linear,1000,1,1.0,True,1,0.54,1.1235,13.3259,14.4494,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,1,0.52,0.7315,13.3259,14.0574,ok
DuckDuckGeese,stl_linear,1000,1,1.0,True,2,0.43999999999999995,1.0677,13.4611,14.5288,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,2,0.45999999999999996,0.7029,13.4611,14.164,ok
DuckDuckGeese,stl_linear,1000,1,1.0,True,3,0.52,0.9032,13.5477,14.4509,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,3,0.42000000000000004,0.723,13.5477,14.2707,ok
DuckDuckGeese,stl_linear,1000,1,1.0,True,4,0.38,1.0402,14.9352,15.9754,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,4,0.38,0.7617,14.9352,15.6969,ok
DuckDuckGeese,stl_linear,1000,1,1.0,True,5,0.54,0.9107,14.1378,15.0485,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,5,0.4,0.7585,14.1378,14.8963,ok
DuckDuckGeese,stl_linear,1000,1,1.0,True,6,0.42000000000000004,1.09,14.9713,16.0613,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,6,0.36,0.7424,14.9713,15.7137,ok
DuckDuckGeese,stl_linear,1000,1,1.0,True,7,0.5,1.0069,13.5999,14.6068,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,7,0.42000000000000004,0.7236,13.5999,14.3235,ok
DuckDuckGeese,stl_linear,1000,1,1.0,True,8,0.54,1.0069,14.7926,15.7995,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,8,0.4,0.7466,14.7926,15.5392,ok
DuckDuckGeese,stl_linear,1000,1,1.0,True,9,0.5199999999999999,1.0924,14.664,15.7564,ok
DuckDuckGeese,stl_tree,1000,1,1.0,True,9,0.4,0.7496,14.664,15.4136,ok
