dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10000,1,1.0,True,0,0.6199999999999999,2.2422,140.0962,142.3384,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,0,0.42000000000000004,7.9962,140.0962,148.0924,ok
DuckDuckGeese,stl_linear,10000,1,1.0,True,1,0.4,1.9163,134.294,136.2103,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,1,0.5199999999999999,4.7817,134.294,139.0757,ok
DuckDuckGeese,stl_linear,10000,1,1.0,True,2,0.44000000000000006,1.7015,128.0012,129.7027,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,2,0.48,4.6779,128.0012,132.6791,ok
DuckDuckGeese,stl_linear,10000,1,1.0,True,3,0.36,1.9068,126.6129,128.5197,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,3,0.54,4.6946,126.6129,131.3075,ok
DuckDuckGeese,stl_linear,10000,1,1.0,True,4,0.34,1.9066,133.988,135.8946,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,4,0.44000000000000006,4.6753,133.988,138.6633,ok
DuckDuckGeese,stl_linear,10000,1,1.0,True,5,0.45999999999999996,2.1067,135.6399,137.7466,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,5,0.54,4.6659,135.6399,140.3058,ok
DuckDuckGeese,stl_linear,10000,1,1.0,True,6,0.5399999999999999,1.8037,140.2399,142.0436,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,6,0.4600000000000001,4.7699,140.2399,145.0098,ok
DuckDuckGeese,stl_linear,10000,1,1.0,True,7,0.38,2.0772,140.1378,142.215,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,7,0.45999999999999996,4.8508,140.1378,144.9886,ok
DuckDuckGeese,stl_linear,10000,1,1.0,True,8,0.45999999999999996,1.89,139.7031,141.5931,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,8,0.42000000000000004,4.7136,139.7031,144.4167,ok
DuckDuckGeese,stl_linear,10000,1,1.0,True,9,0.62,1.8242,142.3714,144.1956,ok
DuckDuckGeese,stl_tree,10000,1,1.0,True,9,0.5399999999999999,4.83,142.3714,147.2014,ok
