dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,10,2,1.0,True,0,0.32,1.1255,0.3996,1.5251,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,0,0.32,3.3144,0.3996,3.714,ok
DuckDuckGeese,stl_linear,10,2,1.0,True,1,0.32,0.7564,0.2957,1.0521,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,1,0.2800000000000001,0.2151,0.2957,0.5108,ok
DuckDuckGeese,stl_linear,10,2,1.0,True,2,0.12000000000000002,0.8114,0.2508,1.0622,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,2,0.38,0.2231,0.2508,0.4739,ok
DuckDuckGeese,stl_linear,10,2,1.0,True,3,0.22000000000000003,0.8482,0.3886,1.2368,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,3,0.34,0.2303,0.3886,0.6189,ok
DuckDuckGeese,stl_linear,10,2,1.0,True,4,0.32,0.995,0.1914,1.1864,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,4,0.32000000000000006,0.2223,0.1914,0.4137,ok
DuckDuckGeese,stl_linear,10,2,1.0,True,5,0.33999999999999997,1.283,0.0603,1.3433,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,5,0.14,0.2302,0.0603,0.2905,ok
DuckDuckGeese,stl_linear,10,2,1.0,True,6,0.48,1.1379,0.0972,1.2351,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,6,0.33999999999999997,0.2273,0.0972,0.3245,ok
DuckDuckGeese,stl_linear,10,2,1.0,True,7,0.3,0.8735,0.2931,1.1666,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,7,0.33999999999999997,0.2049,0.2931,0.498,ok
DuckDuckGeese,stl_linear,10,2,1.0,True,8,0.38000000000000006,1.126,0.2787,1.4047,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,8,0.27999999999999997,0.2165,0.2787,0.4952,ok
DuckDuckGeese,stl_linear,10,2,1.0,True,9,0.31999999999999995,1.0086,0.3098,1.3184,ok
DuckDuckGeese,stl_tree,10,2,1.0,True,9,0.3,0.2196,0.3098,0.5294,ok
