dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,stl_linear,100,2,1.0,True,0,0.4600000000000001,0.954,1.8623,2.8163,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,0,0.4,3.2595,1.8623,5.1218,ok
DuckDuckGeese,stl_linear,100,2,1.0,True,1,0.3,0.9289,1.8105,2.7394,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,1,0.48,0.2635,1.8105,2.074,ok
DuckDuckGeese,stl_linear,100,2,1.0,True,2,0.32,0.9282,1.9374,2.8656,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,2,0.45999999999999996,0.2717,1.9374,2.2091,ok
DuckDuckGeese,stl_linear,100,2,1.0,True,3,0.52,0.8953,2.1981,3.0934,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,3,0.41999999999999993,0.2975,2.1981,2.4956,ok
DuckDuckGeese,stl_linear,100,2,1.0,True,4,0.24000000000000005,1.0552,1.3116,2.3668,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,4,0.5,0.2876,1.3116,1.5992,ok
DuckDuckGeese,stl_linear,100,2,1.0,True,5,0.43999999999999995,0.9473,1.506,2.4533,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,5,0.27999999999999997,0.2892,1.506,1.7952,ok
DuckDuckGeese,stl_linear,100,2,1.0,True,6,0.4,0.8332,1.3415,2.1747,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,6,0.32,0.2793,1.3415,1.6208,ok
DuckDuckGeese,stl_linear,100,2,1.0,True,7,0.5,0.8422,1.291,2.1332,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,7,0.38,0.2771,1.291,1.5681,ok
DuckDuckGeese,stl_linear,100,2,1.0,True,8,0.45999999999999996,0.8406,1.3519,2.1925,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,8,0.36,0.2606,1.3519,1.6125,ok
DuckDuckGeese,stl_linear,100,2,1.0,True,9,0.5399999999999999,0.8734,2.2664,3.1398,ok
DuckDuckGeese,stl_tree,100,2,1.0,True,9,0.18,0.269,2.2664,2.5354,ok
